Subtotal Area	LISA REMMER	JOSEPH C ROBERTS	STEPHEN WAID	LEO LACAYO	RYAN LAM	CHRISTIAN FOSTER	JOSH YORK	EVE DEL CASTELLO	CHRIS WARD KLINE	ERIN SMITH	LARRY MARSO	NICOLE GARAY	CALE GARVERICK	KRISTA GARVERICK	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7205 - Election Day	6	3	3	2	4	1	5	1	3	3	3	3	4	3	147	12	0	0	88	44	0
Precinct 7205	24	12	19	10	15	9	21	11	7	20	18	16	25	15	871	47	0	0	295	222	0
Precinct 7206 - Vote By Mail	5	4	4	2	2	2	3	0	0	3	3	3	4	3	299	10	0	0	72	38	0
Precinct 7206 - Election Day	4	2	2	1	2	2	3	0	2	4	2	2	3	4	78	6	0	0	33	33	0
Precinct 7206	9	6	6	3	4	4	6	0	2	7	5	5	7	7	377	16	0	0	105	71	0
Precinct 7207 - Vote By Mail	6	4	3	3	3	3	2	3	4	7	2	3	6	3	744	22	0	0	190	52	0
Precinct 7207 - Election Day	3	2	2	3	3	2	2	3	2	7	1	3	4	1	123	8	0	0	50	38	0
Precinct 7207	9	6	5	6	6	5	4	6	6	14	3	6	10	4	867	30	0	0	240	90	0
Precinct 7208 - Vote By Mail	10	4	8	1	5	3	7	3	5	5	7	6	5	6	492	24	0	0	189	75	0
Precinct 7208 - Election Day	0	1	0	0	0	0	0	1	0	0	0	0	0	0	78	5	0	0	53	2	0
Precinct 7208	10	5	8	1	5	3	7	4	5	5	7	6	5	6	570	29	0	0	242	77	0
Precinct 7209 - Vote By Mail	12	9	11	9	10	9	12	7	9	15	10	8	15	9	595	46	0	0	361	145	0
Precinct 7209 - Election Day	1	0	1	1	2	1	1	1	2	1	1	2	1	1	52	3	0	0	17	16	0
Precinct 7209	13	9	12	10	12	10	13	8	11	16	11	10	16	10	647	49	0	0	378	161	0
Precinct 7301 - Vote By Mail	10	10	9	6	6	6	6	3	5	16	8	8	10	8	813	28	0	0	197	111	0
Precinct 7301 - Election Day	2	2	2	2	1	2	1	1	1	2	1	2	3	1	201	5	0	0	32	23	0
Precinct 7301	12	12	11	8	7	8	7	4	6	18	9	10	13	9	1,014	33	0	0	229	134	0
Precinct 7302 - Vote By Mail	11	6	5	5	4	5	4	3	4	9	5	5	7	5	713	32	0	0	274	78	0
Precinct 7302 - Election Day	4	4	4	3	2	4	2	2	1	3	1	2	5	2	136	9	0	0	60	39	0
Precinct 7302	15	10	9	8	6	9	6	5	5	12	6	7	12	7	849	41	0	0	334	117	0
Precinct 7303 - Vote By Mail	7	3	9	6	10	6	8	4	5	7	8	6	7	7	869	22	0	0	149	93	0
Precinct 7303 - Election Day	2	2	1	4	2	1	1	2	0	4	1	1	3	1	199	12	0	0	107	25	0
Precinct 7303	9	5	10	10	12	7	9	6	5	11	9	7	10	8	1,068	34	0	0	256	118	0
Precinct 7304 - Vote By Mail	7	4	4	3	7	4	4	7	3	8	7	5	9	5	802	23	0	0	176	77	0
Precinct 7304 - Election Day	3	3	5	3	5	3	3	4	3	3	0	3	3	3	199	10	0	0	66	44	0
