Subtotal Area	DEANNA LORRAINE	JOHN DENNIS	NANCY PELOSI	AGATHA BACELAR	SHAHID BUTTAR	TOM GALLAGHER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7307 - Vote By Mail	4	22	207	6	20	2	605	272	0	0	11	261	0
Precinct 7307 - Election Day	1	7	91	2	14	3	169	130	0	1	10	119	1
Precinct 7307	5	29	298	8	34	5	774	402	0	1	21	380	1
Precinct 7308 - Vote By Mail	7	17	184	6	21	6	520	257	0	1	15	241	0
Precinct 7308 - Election Day	2	8	128	1	10	2	105	158	0	0	7	151	0
Precinct 7308	9	25	312	7	31	8	625	415	0	1	22	392	0
Precinct 7309 - Vote By Mail	2	40	244	3	18	3	691	324	0	4	10	310	0
Precinct 7309 - Election Day	5	10	148	3	11	6	167	191	0	0	8	183	0
Precinct 7309	7	50	392	6	29	9	858	515	0	4	18	493	0
Precinct 7311 - Vote By Mail	6	25	258	4	21	7	698	333	0	0	12	321	0
Precinct 7311 - Election Day	2	9	174	4	17	4	208	218	0	0	8	210	0
Precinct 7311	8	34	432	8	38	11	906	551	0	0	20	531	0
Precinct 7312 - Vote By Mail	10	48	296	4	15	2	700	395	0	0	20	375	0
Precinct 7312 - Election Day	2	13	124	2	7	4	110	162	0	0	10	152	0
Precinct 7312	12	61	420	6	22	6	810	557	0	0	30	527	0
Precinct 7313 - Vote By Mail	5	39	261	3	32	6	819	373	0	4	23	346	0
Precinct 7313 - Election Day	1	8	115	2	20	3	184	163	0	0	14	149	0
Precinct 7313	6	47	376	5	52	9	1,003	536	0	4	37	495	0
Precinct 7314 - Vote By Mail	14	14	142	4	26	6	612	226	0	2	18	206	0
Precinct 7314 - Election Day	1	6	54	3	10	4	147	85	0	0	7	78	0
Precinct 7314	15	20	196	7	36	10	759	311	0	2	25	284	0
Precinct 7315 - Vote By Mail	6	19	136	2	25	7	570	206	0	0	11	195	0
Precinct 7315 - Election Day	1	8	99	0	16	4	195	135	0	0	7	128	0
Precinct 7315	7	27	235	2	41	11	765	341	0	0	18	323	0
Precinct 7316 - Vote By Mail	7	18	183	3	26	9	654	261	0	0	15	246	0
Precinct 7316 - Election Day	0	6	101	4	12	3	178	131	0	0	5	126	0
Precinct 7316	7	24	284	7	38	12	832	392	0	0	20	372	0
Precinct 7317 - Vote By Mail	8	44	261	3	19	5	744	350	0	1	9	340	0
Precinct 7317 - Election Day	5	4	82	3	11	3	146	114	0	0	6	108	0
Precinct 7317	13	48	343	6	30	8	890	464	0	1	15	448	0
Precinct 7318 - Vote By Mail	6	28	205	3	22	7	605	293	0	3	19	271	0
Precinct 7318 - Election Day	2	8	77	0	8	3	118	108	0	0	10	98	0
