Subtotal Area	PHIL COLLINS	ROQUE "ROCKY" DE LA FUENTE	CHARLES KRAUT	J.R. MYERS	DON BLANKENSHIP	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7203 - Vote By Mail	0	0	1	0	0	693	3	0	0	2	1	0
Precinct 7203 - Election Day	0	0	0	0	0	186	0	0	0	0	0	0
Precinct 7203	0	0	1	0	0	879	3	0	0	2	1	0
Precinct 7204 - Vote By Mail	1	0	1	0	0	773	8	0	0	6	2	0
Precinct 7204 - Election Day	0	0	0	0	0	126	2	0	0	2	0	0
Precinct 7204	1	0	1	0	0	899	10	0	0	8	2	0
Precinct 7205 - Vote By Mail	0	0	0	0	0	724	3	0	0	3	0	0
Precinct 7205 - Election Day	0	0	0	0	0	147	1	0	0	1	0	0
Precinct 7205	0	0	0	0	0	871	4	0	0	4	0	0
Precinct 7206 - Vote By Mail	0	0	0	0	0	299	2	0	0	2	0	0
Precinct 7206 - Election Day	0	0	1	0	0	78	2	0	0	1	1	0
Precinct 7206	0	0	1	0	0	377	4	0	0	3	1	0
Precinct 7207 - Vote By Mail	0	0	0	0	0	744	5	0	0	5	0	0
Precinct 7207 - Election Day	0	0	1	0	0	123	1	0	0	0	1	0
Precinct 7207	0	0	1	0	0	867	6	0	0	5	1	0
Precinct 7208 - Vote By Mail	0	0	0	0	0	492	5	0	0	5	0	0
Precinct 7208 - Election Day	0	0	0	0	0	78	1	0	0	1	0	0
Precinct 7208	0	0	0	0	0	570	6	0	0	6	0	0
Precinct 7209 - Vote By Mail	0	0	0	0	0	595	4	0	0	4	0	0
Precinct 7209 - Election Day	0	0	0	0	0	52	1	0	0	0	1	1
Precinct 7209	0	0	0	0	0	647	5	0	0	4	1	1
Precinct 7301 - Vote By Mail	0	0	1	0	0	813	2	0	0	1	1	0
Precinct 7301 - Election Day	0	0	1	0	0	201	3	0	0	2	1	0
Precinct 7301	0	0	2	0	0	1,014	5	0	0	3	2	0
Precinct 7302 - Vote By Mail	1	1	0	0	0	713	6	0	0	4	2	0
Precinct 7302 - Election Day	0	0	0	0	0	136	0	0	0	0	0	0
Precinct 7302	1	1	0	0	0	849	6	0	0	4	2	0
Precinct 7303 - Vote By Mail	1	0	0	0	0	869	2	0	0	1	1	0
Precinct 7303 - Election Day	0	0	0	1	0	199	2	0	0	1	1	0
Precinct 7303	1	0	0	1	0	1,068	4	0	0	2	2	0
Precinct 7304 - Vote By Mail	1	0	0	0	0	802	4	0	0	3	1	0
Precinct 7304 - Election Day	0	0	0	0	0	199	0	0	0	0	0	0
Precinct 7304	1	0	0	0	0	1,001	4	0	0	3	1	0
