Subtotal Area	ROBERT ARDINI	JOE WALSH	BILL WELD	ROQUE "ROCKY" DE LA FUENTE	MATTHEW JOHN MATERN	ZOLTAN G. ISTVAN	DONALD J. TRUMP	DENIS C. GRASSKA	ROBERT LEE MANNING JR.	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7047 - Election Day	0	0	1	0	0	0	2	0	0	150	3	0	0	0	3	0
Precinct 7047	0	0	1	0	1	1	15	0	0	883	19	0	0	1	18	0
Precinct 7048 - Vote By Mail	0	0	1	1	1	0	13	0	0	685	21	0	0	5	16	0
Precinct 7048 - Election Day	0	0	0	1	0	0	1	0	0	196	2	0	0	0	2	0
Precinct 7048	0	0	1	2	1	0	14	0	0	881	23	0	0	5	18	0
Precinct 7049 - Vote By Mail	2	0	1	1	0	0	17	0	0	616	24	0	0	3	21	0
Precinct 7049 - Election Day	0	0	0	1	0	0	4	0	0	210	6	0	0	1	5	0
Precinct 7049	2	0	1	2	0	0	21	0	0	826	30	0	0	4	26	0
Precinct 7051 - Vote By Mail	1	1	5	0	0	0	22	0	0	715	30	0	0	1	29	0
Precinct 7051 - Election Day	0	0	0	0	0	0	2	0	0	165	2	0	0	0	2	0
Precinct 7051	1	1	5	0	0	0	24	0	0	880	32	0	0	1	31	0
Precinct 7052 - Vote By Mail	0	0	1	0	0	0	18	0	0	722	19	0	0	0	19	0
Precinct 7052 - Election Day	0	0	0	0	0	0	3	0	0	184	3	0	0	0	3	0
Precinct 7052	0	0	1	0	0	0	21	0	0	906	22	0	0	0	22	0
Precinct 7053 - Vote By Mail	0	2	2	0	0	0	13	0	0	542	19	0	0	2	17	0
Precinct 7053 - Election Day	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0
Precinct 7053	0	2	2	0	0	0	13	0	0	585	19	0	0	2	17	0
Precinct 7054 - Vote By Mail	1	2	0	0	0	0	6	0	0	863	10	0	0	1	9	0
Precinct 7054 - Election Day	0	0	0	1	0	0	3	0	0	273	4	0	0	0	4	0
Precinct 7054	1	2	0	1	0	0	9	0	0	1,136	14	0	0	1	13	0
Precinct 7055 - Vote By Mail	0	0	1	0	0	0	12	0	0	732	16	0	0	3	13	0
Precinct 7055 - Election Day	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0
Precinct 7055	0	0	1	0	0	0	12	0	0	826	16	0	0	3	13	0
Precinct 7056 - Vote By Mail	0	0	0	0	0	0	7	0	0	618	7	0	0	0	7	0
Precinct 7056 - Election Day	0	0	0	0	0	0	1	0	0	87	1	0	0	0	1	0
Precinct 7056	0	0	0	0	0	0	8	0	0	705	8	0	0	0	8	0
Precinct 7101 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0
