Subtotal Area	EVA I. CHAO	BRIAN J. LARKIN	JONATHAN LYENS	JANICE LI	MELANIE NUTTER	WILLIAM WALKER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9237 - Vote By Mail	0	0	0	0	0	0	936	0	0	0	0	0	0
Precinct 9238 - Election Day	0	0	0	0	0	0	842	0	0	0	0	0	0
Precinct 9238 - Vote By Mail	0	0	0	0	0	0	842	0	0	0	0	0	0
Precinct 9239 - Election Day	0	0	0	0	0	0	881	0	0	0	0	0	0
Precinct 9239 - Vote By Mail	0	0	0	0	0	0	881	0	0	0	0	0	0
Precinct 9241 - Election Day	0	0	0	0	0	0	1,005	0	0	0	0	0	0
Precinct 9241 - Vote By Mail	0	0	0	0	0	0	1,005	0	0	0	0	0	0
Precinct 9242 - Election Day	0	0	0	0	0	0	972	0	0	0	0	0	0
Precinct 9242 - Vote By Mail	0	0	0	0	0	0	972	0	0	0	0	0	0
Precinct 9243 - Election Day	0	0	0	0	0	0	594	0	0	0	0	0	0
Precinct 9243 - Vote By Mail	0	0	0	0	0	0	594	0	0	0	0	0	0
Precinct 9244 - Election Day	0	0	0	0	0	0	903	0	0	0	0	0	0
Precinct 9244 - Vote By Mail	0	0	0	0	0	0	903	0	0	0	0	0	0
Precinct 9245 - Election Day	0	0	0	0	0	0	742	0	0	0	0	0	0
