Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7701 - None	0	0	1,064	0	0	0	0	0
Precinct 7701 - None	0	0	1,064	0	0	0	0	0
Precinct 7702 - None	0	0	748	0	0	0	0	0
Precinct 7702 - None	0	0	748	0	0	0	0	0
Precinct 7703 MB - None	0	0	171	0	0	0	0	0
Precinct 7704 - None	0	0	1,008	0	0	0	0	0
Precinct 7704 - None	0	0	1,008	0	0	0	0	0
Precinct 7705 - None	0	0	568	0	0	0	0	0
Precinct 7705 - None	0	0	568	0	0	0	0	0
Precinct 7706 - None	0	0	840	0	0	0	0	0
Precinct 7706 - None	0	0	840	0	0	0	0	0
Precinct 7707 - None	0	0	857	0	0	0	0	0
Precinct 7707 - None	0	0	857	0	0	0	0	0
Precinct 7708 - None	0	0	871	0	0	0	0	0
Precinct 7708 - None	0	0	871	0	0	0	0	0
Precinct 7709 - None	0	0	391	0	0	0	0	0
Precinct 7709 - None	0	0	391	0	0	0	0	0
Precinct 7711 - None	0	0	766	0	0	0	0	0
Precinct 7711 - None	0	0	766	0	0	0	0	0
Precinct 7712 - None	0	0	529	0	0	0	0	0
Precinct 7712 - None	0	0	529	0	0	0	0	0
Precinct 7801 - None	0	0	1,001	0	0	0	0	0
Precinct 7801 - None	0	0	1,001	0	0	0	0	0
Precinct 7802 - None	0	0	788	0	0	0	0	0
Precinct 7802 - None	0	0	788	0	0	0	0	0
Precinct 7803 - None	0	0	828	0	0	0	0	0
Precinct 7803 - None	0	0	828	0	0	0	0	0
Precinct 7804 - None	0	0	893	0	0	0	0	0
Precinct 7804 - None	0	0	893	0	0	0	0	0
Precinct 7805 - None	0	0	825	0	0	0	0	0
Precinct 7805 - None	0	0	825	0	0	0	0	0
Precinct 7806 - None	0	0	716	0	0	0	0	0
Precinct 7806 - None	0	0	716	0	0	0	0	0
Precinct 7807 - None	0	0	844	0	0	0	0	0
Precinct 7807 - None	0	0	844	0	0	0	0	0
Precinct 7808 - None	0	0	655	0	0	0	0	0
Precinct 7808 - None	0	0	655	0	0	0	0	0
Precinct 7809 - None	0	0	781	0	0	0	0	0
Precinct 7809 - None	0	0	781	0	0	0	0	0
Precinct 7811 - None	0	0	783	0	0	0	0	0
Precinct 7811 - None	0	0	783	0	0	0	0	0
Precinct 7812 - None	0	0	877	0	0	0	0	0
Precinct 7812 - None	0	0	877	0	0	0	0	0
Precinct 7813 - None	0	0	1,064	0	0	0	0	0
Precinct 7813 - None	0	0	1,064	0	0	0	0	0
Precinct 7814 - None	0	0	936	0	0	0	0	0
Precinct 7814 - None	0	0	936	0	0	0	0	0
Precinct 7815 - None	0	0	954	0	0	0	0	0
