Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7543 - Vote By Mail	0	0	909	0	0	0	0	0
Precinct 7544 - Election Day	0	0	898	0	0	0	0	0
Precinct 7544 - Vote By Mail	0	0	898	0	0	0	0	0
Precinct 7545 - Election Day	0	0	918	0	0	0	0	0
Precinct 7545 - Vote By Mail	0	0	918	0	0	0	0	0
Precinct 7546 - Election Day	0	0	982	0	0	0	0	0
Precinct 7546 - Vote By Mail	0	0	982	0	0	0	0	0
Precinct 7547 - Election Day	0	0	1,029	0	0	0	0	0
Precinct 7547 - Vote By Mail	0	0	1,029	0	0	0	0	0
Precinct 7548 - Election Day	0	0	1,073	0	0	0	0	0
Precinct 7548 - Vote By Mail	0	0	1,073	0	0	0	0	0
Precinct 7549 - Election Day	0	0	811	0	0	0	0	0
Precinct 7549 - Vote By Mail	0	0	811	0	0	0	0	0
Precinct 7551 - Election Day	0	0	741	0	0	0	0	0
Precinct 7551 - Vote By Mail	0	0	741	0	0	0	0	0
Precinct 7552 - Election Day	0	0	727	0	0	0	0	0
Precinct 7552 - Vote By Mail	0	0	727	0	0	0	0	0
Precinct 7553 MB - Vote By Mail	0	0	180	0	0	0	0	0
Precinct 7554 - Election Day	0	0	808	0	0	0	0	0
Precinct 7554 - Vote By Mail	0	0	808	0	0	0	0	0
Precinct 7555 - Election Day	0	0	886	0	0	0	0	0
Precinct 7555 - Vote By Mail	0	0	886	0	0	0	0	0
Precinct 7556/7557 - Election Day	0	0	969	0	0	0	0	0
Precinct 7556/7557 - Vote By Mail	0	0	969	0	0	0	0	0
Precinct 7601 - Election Day	0	0	767	0	0	0	0	0
Precinct 7601 - Vote By Mail	0	0	767	0	0	0	0	0
Precinct 7602 - Election Day	0	0	901	0	0	0	0	0
Precinct 7602 - Vote By Mail	0	0	901	0	0	0	0	0
Precinct 7603 - Election Day	0	0	830	0	0	0	0	0
Precinct 7603 - Vote By Mail	0	0	830	0	0	0	0	0
Precinct 7604 - Election Day	0	0	954	0	0	0	0	0
Precinct 7604 - Vote By Mail	0	0	954	0	0	0	0	0
Precinct 7605 - Election Day	0	0	648	0	0	0	0	0
Precinct 7605 - Vote By Mail	0	0	648	0	0	0	0	0
Precinct 7606 - Election Day	0	0	924	0	0	0	0	0
Precinct 7606 - Vote By Mail	0	0	924	0	0	0	0	0
Precinct 7607 - Election Day	0	0	960	0	0	0	0	0
Precinct 7607 - Vote By Mail	0	0	960	0	0	0	0	0
Precinct 7608 - Election Day	0	0	392	0	0	0	0	0
Precinct 7608 - Vote By Mail	0	0	392	0	0	0	0	0
