Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7348 - Election Day	91	36	832	139	-1	0	13	127
Precinct 7348 - Vote By Mail	138	43	832	202	3	0	18	181
Precinct 7349 - Election Day	103	33	921	147	-1	0	12	136
Precinct 7349 - Vote By Mail	175	72	921	282	3	0	32	247
Precinct 7501 - Election Day	74	32	554	118	-1	1	12	106
Precinct 7501 - Vote By Mail	89	61	554	168	0	0	18	150
Precinct 7502 - Election Day	70	29	741	113	1	0	13	99
Precinct 7502 - Vote By Mail	217	104	741	349	-8	1	35	321
Precinct 7503 - Election Day	75	36	727	132	0	0	21	111
Precinct 7503 - Vote By Mail	140	69	727	226	-1	0	18	209
Precinct 7504 - Election Day	33	33	484	76	0	0	10	66
Precinct 7504 - Vote By Mail	84	59	484	158	4	0	11	143
Precinct 7505 - Election Day	71	40	871	131	0	0	20	111
Precinct 7505 - Vote By Mail	278	92	871	417	1	1	45	370
Precinct 7506 - Election Day	79	37	920	133	-1	0	18	116
Precinct 7506 - Vote By Mail	126	90	920	252	0	0	36	216
Precinct 7507 - Election Day	75	60	919	158	-2	0	25	135
Precinct 7507 - Vote By Mail	152	78	919	255	4	0	21	230
Precinct 7508 - Election Day	63	32	702	106	0	0	11	95
Precinct 7508 - Vote By Mail	208	91	702	340	-1	0	42	299
Precinct 7509/7511 - Election Day	102	54	909	171	-2	0	17	156
Precinct 7509/7511 - Vote By Mail	202	90	909	319	1	0	26	292
Precinct 7512 - Election Day	45	41	604	96	-1	0	11	86
Precinct 7512 - Vote By Mail	109	70	604	196	3	0	14	179
Precinct 7513 - Election Day	78	47	790	142	-2	0	19	125
Precinct 7513 - Vote By Mail	118	60	790	208	2	0	28	178
Precinct 7514 - Election Day	37	32	863	95	-3	0	29	69
Precinct 7514 - Vote By Mail	100	80	863	235	1	0	54	180
Precinct 7515 - Election Day	82	48	845	150	0	0	20	130
Precinct 7515 - Vote By Mail	159	97	845	289	3	0	30	256
Precinct 7516 - Election Day	81	47	886	145	0	0	17	128
Precinct 7516 - Vote By Mail	235	109	886	378	-3	0	37	344
Precinct 7517 - Election Day	152	57	863	228	-1	0	20	209
Precinct 7517 - Vote By Mail	174	57	863	251	-2	0	22	231
Precinct 7518 - Election Day	171	50	939	235	0	0	14	221
Precinct 7518 - Vote By Mail	203	64	939	298	-1	0	32	267
Precinct 7519 - Election Day	133	39	726	179	0	0	7	172
Precinct 7519 - Vote By Mail	127	45	726	185	0	1	12	172
Precinct 7521 - Election Day	130	52	802	211	1	0	28	182
Precinct 7521 - Vote By Mail	152	42	802	215	-1	0	22	194
Precinct 7522 - Election Day	115	47	743	175	-1	0	14	162
Precinct 7522 - Vote By Mail	150	67	743	240	0	0	23	217
Precinct 7523 - Election Day	150	39	737	208	0	0	19	189
Precinct 7523 - Vote By Mail	128	75	737	223	-3	0	23	203
Precinct 7524 - Election Day	86	34	646	143	3	0	20	120
Precinct 7524 - Vote By Mail	104	41	646	165	2	0	18	145
Precinct 7525 - Election Day	76	45	779	145	-1	0	25	121
Precinct 7525 - Vote By Mail	130	62	779	214	1	0	21	192
Precinct 7526 - Election Day	122	58	947	197	1	0	16	180
Precinct 7526 - Vote By Mail	208	83	947	313	3	0	19	291
Precinct 7527/7528 - Election Day	119	19	729	162	-2	0	26	138
Precinct 7527/7528 - Vote By Mail	146	70	729	237	1	0	20	216
Precinct 7529 - Election Day	149	43	925	214	0	1	21	192
Precinct 7529 - Vote By Mail	197	81	925	300	1	0	21	278
Precinct 7531 - Election Day	129	38	847	179	-1	0	13	167
Precinct 7531 - Vote By Mail	178	51	847	263	2	0	32	229
Precinct 7532 - Election Day	115	43	823	172	1	0	13	158
Precinct 7532 - Vote By Mail	135	76	823	226	1	0	14	211
Precinct 7533 - Election Day	197	52	951	268	-1	0	20	249
Precinct 7533 - Vote By Mail	198	81	951	297	1	0	17	279
Precinct 7534 - Election Day	169	50	883	241	0	0	22	219
Precinct 7534 - Vote By Mail	163	66	883	240	0	0	11	229
Precinct 7535 - Election Day	140	47	743	201	0	0	14	187
Precinct 7535 - Vote By Mail	173	66	743	251	-1	0	13	239
Precinct 7536 - Election Day	143	49	856	206	-1	0	15	192
Precinct 7536 - Vote By Mail	187	73	856	279	-2	0	21	260
Precinct 7537 - Election Day	134	39	734	187	0	0	14	173
Precinct 7537 - Vote By Mail	157	51	734	225	2	0	15	208
Precinct 7538 - Election Day	160	50	757	223	0	0	13	210
Precinct 7538 - Vote By Mail	176	64	757	256	-2	0	18	240
Precinct 7539 - Election Day	171	49	884	250	2	0	28	220
Precinct 7539 - Vote By Mail	193	74	884	286	-3	0	22	267
Precinct 7541 - Election Day	136	57	791	215	0	0	22	193
Precinct 7541 - Vote By Mail	163	59	791	245	0	0	23	222
Precinct 7542 - Election Day	126	47	787	183	-1	0	11	173
Precinct 7542 - Vote By Mail	166	66	787	247	-3	0	18	232
Precinct 7543 - Election Day	114	49	910	187	2	1	21	163
Precinct 7543 - Vote By Mail	211	100	910	332	1	0	20	311
Precinct 7544 - Election Day	133	38	877	186	0	0	15	171
Precinct 7544 - Vote By Mail	218	88	877	331	-2	0	27	306
