Subtotal Area	MARK BURNS	CATHLEEN GALGIANI	BARRY CHANG	MALIA COHEN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9146 - None	13	31	17	102	866	206	0	0	42	164	1
Precinct 9146 - None	31	36	28	116	866	297	-1	0	87	211	0
Precinct 9147 - None	13	24	22	104	920	227	1	0	62	164	1
Precinct 9147 - None	26	31	49	127	920	318	-2	2	85	233	0
Precinct 9148 - None	12	26	16	120	946	226	0	0	47	179	5
Precinct 9148 - None	28	37	21	149	946	322	3	1	81	237	2
Precinct 9149 - None	16	19	8	97	884	196	0	0	55	141	1
Precinct 9149 - None	27	44	25	128	884	296	-1	1	69	227	3
Precinct 9151 - None	13	15	3	88	806	152	-1	1	33	119	0
Precinct 9151 - None	26	37	13	121	806	267	-1	0	70	198	1
Precinct 9152 - None	6	8	5	27	712	67	1	0	20	46	0
Precinct 9152 - None	19	27	4	62	712	138	1	0	25	112	0
Precinct 9201 - None	10	30	7	117	953	201	0	0	35	166	2
Precinct 9201 - None	25	36	10	109	953	229	2	2	45	180	0
Precinct 9202 - None	16	24	7	85	908	184	-1	2	51	132	0
Precinct 9202 - None	27	29	5	100	908	218	0	0	55	163	2
Precinct 9203 - None	31	21	4	47	968	145	0	1	38	106	3
Precinct 9203 - None	69	41	10	110	968	300	4	0	65	231	1
Precinct 9204 - None	30	22	3	49	809	147	0	0	42	105	1
Precinct 9204 - None	62	44	7	68	809	223	-3	0	45	181	0
Precinct 9205 - None	17	23	5	29	694	113	0	0	38	75	1
Precinct 9205 - None	30	24	6	81	694	201	2	1	56	142	1
Precinct 9206 - None	32	26	4	39	887	135	-1	0	35	101	0
Precinct 9206 - None	76	51	7	107	887	294	0	0	52	242	1
Precinct 9207 - None	38	13	9	54	913	148	0	0	34	114	0
Precinct 9207 - None	50	40	8	98	913	249	1	0	52	196	0
Precinct 9208 - None	23	21	6	57	936	147	0	0	39	108	1
Precinct 9208 - None	48	42	12	87	936	240	-1	0	52	189	0
Precinct 9209 - None	21	19	4	46	675	121	-1	0	32	90	0
Precinct 9209 - None	44	27	6	73	675	188	0	0	36	152	2
Precinct 9211 - None	23	15	4	55	834	130	0	0	31	99	2
