Subtotal Area	JEFF BLEICH	ELENI KOUNALAKIS	CAMERON GHARABIKLOU	TIM FERREIRA	DAVID FENNELL	DANNY THOMAS	COLE HARRIS	ED HERNANDEZ	DAVID R. HERNANDEZ	LYDIA ORTEGA	GAYLE MCLAUGHLIN	MARJAN S. FARIBA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7309 - None	41	37	0	4	1	0	11	22	2	1	25	0	826	160	0	0	16	144	0
Precinct 7309 - None	38	53	1	4	5	2	13	30	0	4	25	0	826	209	0	0	34	175	0
Precinct 7311 - None	48	44	0	3	2	0	7	17	1	5	24	0	901	175	0	0	23	152	1
Precinct 7311 - None	62	82	0	1	5	1	8	40	3	7	26	0	901	266	0	1	30	235	0
Precinct 7312 - None	36	34	0	4	6	2	5	11	1	4	11	0	810	128	0	0	14	114	0
Precinct 7312 - None	90	91	3	2	10	1	20	34	6	10	19	0	810	332	0	1	45	286	0
Precinct 7313 - None	27	30	0	3	1	3	4	17	1	1	24	0	925	135	0	0	24	111	0
Precinct 7313 - None	67	71	2	4	9	2	28	52	7	7	24	0	925	315	0	1	41	273	0
Precinct 7314 - None	12	12	2	3	4	1	5	11	1	5	8	0	760	92	0	2	26	64	0
Precinct 7314 - None	19	26	11	3	1	12	12	40	2	6	16	0	760	213	0	0	64	149	1
Precinct 7315 - None	18	23	3	0	4	3	5	16	1	2	29	0	725	119	0	0	15	104	0
Precinct 7315 - None	27	35	1	3	4	0	7	35	6	11	17	0	725	178	0	0	32	146	0
Precinct 7316 - None	18	29	3	3	2	1	7	19	0	3	21	0	824	122	0	0	16	106	0
Precinct 7316 - None	46	60	3	5	5	0	15	52	5	5	26	0	824	266	0	0	44	222	0
Precinct 7317 - None	27	31	0	0	5	2	6	11	1	3	17	0	886	117	0	0	14	103	0
Precinct 7317 - None	70	82	3	4	8	5	27	49	6	11	30	0	886	340	0	0	44	296	1
Precinct 7318 - None	23	34	0	1	3	2	6	13	2	3	15	0	709	123	0	0	21	102	0
Precinct 7318 - None	34	56	10	5	3	9	10	60	2	6	15	0	709	243	0	1	31	211	1
Precinct 7319 - None	38	41	3	4	6	1	8	29	1	5	23	0	1,035	182	0	0	23	159	0
Precinct 7319 - None	53	63	2	3	12	2	23	41	5	13	25	0	1,035	296	0	0	53	243	1
Precinct 7321 - None	16	13	0	1	2	3	7	20	0	4	7	0	644	100	0	0	26	74	1
Precinct 7321 - None	35	36	4	5	5	7	23	33	7	13	15	0	644	211	0	0	28	183	0
Precinct 7322 - None	6	12	1	1	2	2	2	6	3	0	10	0	859	60	0	0	15	45	0
Precinct 7322 - None	30	31	5	1	4	10	24	79	8	17	16	0	859	304	0	0	79	225	0
Precinct 7323 - None	32	44	1	2	3	2	7	17	3	4	15	0	881	146	0	1	15	130	0
Precinct 7323 - None	48	67	2	7	7	0	9	53	7	11	13	0	881	273	0	0	49	224	0
Precinct 7324 - None	21	28	1	2	2	1	7	15	4	7	19	0	687	125	0	0	18	107	0
Precinct 7324 - None	30	56	0	3	3	0	11	29	2	6	10	0	687	198	0	0	46	152	2
