Subtotal Area	MICHELLE BRAVO	LONDON BREED	MARK LENO	JANE KIM	RICHIE GREENBERG	ANGELA ALIOTO	AMY FARAH WEISS	ELLEN LEE ZHOU	ANTOINE R. ROGERS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7019 - Vote By Mail	1	186	68	42	8	14	1	30	0	864	349	-3	0	1	0	351	1
Precinct 7021 - Election Day	2	78	8	29	2	5	1	3	0	927	129	-1	1	1	0	128	0
Precinct 7021 - Vote By Mail	3	104	29	43	2	19	6	12	0	927	220	-1	1	2	0	218	0
Precinct 7022 - Election Day	0	110	18	28	3	5	0	1	0	923	164	-2	1	0	0	165	0
Precinct 7022 - Vote By Mail	0	148	44	48	3	9	1	14	0	923	270	0	1	2	0	267	0
Precinct 7023 - Election Day	1	91	13	17	4	3	0	0	0	906	131	1	0	0	0	130	1
Precinct 7023 - Vote By Mail	0	180	34	51	3	14	1	13	2	906	301	-3	2	3	0	299	1
Precinct 7024 - Election Day	1	23	2	1	0	0	0	3	0	386	30	0	0	0	0	30	0
Precinct 7024 - Vote By Mail	0	30	3	5	1	1	2	4	0	386	47	0	1	0	0	46	0
Precinct 7025 - Election Day	0	45	7	9	1	3	0	0	0	448	66	1	0	0	0	65	0
Precinct 7025 - Vote By Mail	0	48	7	12	1	5	1	1	0	448	78	1	2	0	0	75	0
Precinct 7026 - Election Day	0	44	11	13	1	7	0	14	0	971	90	0	0	0	0	90	0
Precinct 7026 - Vote By Mail	1	142	50	50	6	20	3	71	0	971	350	-2	1	8	0	343	0
Precinct 7027 - Election Day	0	91	15	17	2	8	0	0	0	845	136	0	0	3	0	133	0
Precinct 7027 - Vote By Mail	1	139	28	43	10	9	2	37	0	845	271	0	1	0	0	270	1
Precinct 7028 - Election Day	0	111	21	18	1	4	0	0	0	835	157	0	0	2	0	155	0
Precinct 7028 - Vote By Mail	2	96	30	28	0	6	0	18	0	835	180	-3	3	0	0	180	0
Precinct 7029 - Election Day	2	101	3	4	2	2	1	0	0	855	115	-1	0	0	0	116	1
Precinct 7029 - Vote By Mail	1	111	14	22	1	6	0	10	1	855	166	-1	1	0	0	166	0
Precinct 7030 - Election Day	0	43	9	20	1	8	0	15	0	729	94	-2	0	0	0	96	0
Precinct 7030 - Vote By Mail	3	74	47	55	3	11	4	75	0	729	277	1	0	4	0	272	0
Precinct 7031 - Election Day	0	31	7	7	0	2	0	3	0	611	50	0	0	0	0	50	0
Precinct 7031 - Vote By Mail	2	92	44	32	8	8	1	36	0	611	224	-2	2	1	0	223	0
Precinct 7032 - Election Day	1	90	12	15	0	4	0	2	0	867	126	0	0	2	0	124	0
Precinct 7032 - Vote By Mail	0	137	37	26	4	10	0	22	0	867	238	1	0	1	0	236	0
Precinct 7033 - Election Day	1	91	10	17	1	9	2	2	0	765	135	0	0	1	0	134	1
Precinct 7033 - Vote By Mail	1	118	17	22	3	14	0	7	0	765	181	-2	0	0	0	183	1
Precinct 7034 - Election Day	1	76	8	3	1	1	0	3	0	914	97	0	1	3	0	93	0
Precinct 7034 - Vote By Mail	0	131	8	6	2	6	1	1	0	914	154	-1	0	0	0	155	0
Precinct 7035 - Election Day	0	44	13	10	0	4	1	1	0	553	73	0	0	0	0	73	0
Precinct 7035 - Vote By Mail	1	99	33	18	3	8	1	5	0	553	170	1	0	1	0	168	0
Precinct 7036 - Election Day	2	24	7	10	1	4	0	4	0	898	52	0	0	0	0	52	0
Precinct 7036 - Vote By Mail	6	92	41	40	7	33	0	43	0	898	265	0	0	1	0	264	2
Precinct 7037 - Election Day	1	56	7	6	1	1	0	0	0	730	73	0	0	1	0	72	0
Precinct 7037 - Vote By Mail	0	32	10	8	3	2	0	7	0	730	64	2	0	0	0	62	0
Precinct 7038 - Election Day	3	55	11	4	1	5	2	2	0	880	84	0	0	1	0	83	0
Precinct 7038 - Vote By Mail	1	111	51	36	5	16	1	28	0	880	255	-1	0	6	0	250	1
Precinct 7039 - Election Day	3	41	17	24	2	11	1	12	0	768	111	-1	0	1	0	111	0
Precinct 7039 - Vote By Mail	0	98	40	29	8	16	1	28	0	768	225	-2	2	5	0	220	0
Precinct 7041 MB - Vote By Mail	0	4	3	10	1	0	0	3	0	60	24	0	0	3	0	21	0
Precinct 7042 - Election Day	2	34	6	18	1	6	1	7	0	632	75	-1	0	0	0	76	1
Precinct 7042 - Vote By Mail	1	85	31	32	3	14	0	22	0	632	191	1	0	2	0	188	0
Precinct 7043 - Election Day	0	59	8	20	0	5	2	1	0	915	97	0	0	2	0	95	0
Precinct 7043 - Vote By Mail	3	108	57	50	5	22	1	31	0	915	282	0	2	3	0	277	0
Precinct 7044 - Election Day	0	69	2	7	0	4	0	3	0	805	86	1	0	0	0	85	0
Precinct 7044 - Vote By Mail	2	68	13	20	4	3	0	17	0	805	125	-3	0	1	0	127	0
Precinct 7045 - Election Day	0	40	8	22	2	5	2	6	0	763	87	0	0	2	0	85	0
Precinct 7045 - Vote By Mail	2	114	42	37	7	13	2	63	0	763	282	0	1	1	0	280	0
Precinct 7046 - Election Day	0	31	11	5	1	2	0	3	0	385	54	0	0	1	0	53	0
Precinct 7046 - Vote By Mail	0	64	10	17	5	12	1	26	0	385	136	-1	1	1	0	135	0
Precinct 7047 - Election Day	0	37	13	13	0	3	0	2	0	781	68	-1	0	1	0	68	0
Precinct 7047 - Vote By Mail	2	125	45	63	3	23	1	34	0	781	298	0	1	0	0	297	1
Precinct 7048 - Election Day	0	59	8	16	1	7	0	2	0	815	94	0	0	1	0	93	0
Precinct 7048 - Vote By Mail	1	138	18	48	2	12	1	30	0	815	248	-3	1	0	0	250	0
Precinct 7049 - Election Day	1	40	14	18	1	15	0	16	0	751	108	0	0	2	0	106	1
Precinct 7049 - Vote By Mail	4	87	36	46	6	14	1	45	0	751	241	-2	0	4	0	239	0
Precinct 7051 - Election Day	0	25	13	23	2	5	0	1	0	839	70	-1	1	0	0	70	1
Precinct 7051 - Vote By Mail	1	120	40	50	7	19	2	57	0	839	302	2	2	2	0	296	0
Precinct 7052 - Election Day	0	52	25	18	3	11	0	12	0	806	120	-1	0	0	0	121	0
Precinct 7052 - Vote By Mail	0	108	53	42	13	18	1	44	0	806	278	-1	0	0	0	279	0
Precinct 7053 - Election Day	0	21	9	9	2	0	1	2	0	548	44	0	0	0	0	44	0
Precinct 7053 - Vote By Mail	0	85	51	30	8	15	0	13	0	548	205	-2	0	4	0	203	1
Precinct 7054 - Election Day	2	94	11	26	1	5	0	1	0	1,024	141	0	1	0	0	140	0
Precinct 7054 - Vote By Mail	0	157	36	33	6	22	1	18	0	1,024	275	-2	1	3	0	273	0
Precinct 7055 - Election Day	0	36	8	32	1	5	0	1	0	699	83	-1	0	1	0	83	0
Precinct 7055 - Vote By Mail	0	94	41	48	6	10	1	54	0	699	256	0	0	1	0	255	1
Precinct 7101 MB - Vote By Mail	0	39	14	24	1	3	1	0	0	141	83	0	1	0	0	82	0
Precinct 7201 - Election Day	1	67	32	18	1	26	0	1	0	900	147	0	0	1	0	146	0
Precinct 7201 - Vote By Mail	1	118	74	73	18	43	1	0	0	900	333	-2	0	6	0	329	1
Precinct 7202 - Election Day	1	44	31	32	4	23	1	0	0	830	138	0	0	2	0	136	0
Precinct 7202 - Vote By Mail	0	126	54	29	12	44	1	5	0	830	271	-2	0	1	0	272	1
Precinct 7203 - Election Day	0	66	50	35	3	13	1	0	0	867	174	1	0	5	0	168	0
Precinct 7203 - Vote By Mail	0	98	74	36	6	25	0	2	0	867	243	0	0	2	0	241	0
Precinct 7204 - Election Day	0	67	39	26	4	17	0	0	0	888	157	0	2	2	0	153	0
Precinct 7204 - Vote By Mail	0	159	95	45	9	26	0	5	0	888	340	-3	0	3	0	340	1
Precinct 7205 - Election Day	0	71	58	30	6	14	2	1	0	847	183	0	0	1	0	182	0
Precinct 7205 - Vote By Mail	0	107	99	48	10	34	0	0	0	847	309	1	2	6	0	300	2
Precinct 7206 - Election Day	0	38	17	24	0	8	0	1	0	375	88	0	0	0	0	88	0
Precinct 7206 - Vote By Mail	0	67	27	12	8	6	2	0	0	375	124	-1	0	3	0	122	0
Precinct 7207 - Election Day	0	48	29	23	5	10	0	1	0	744	119	0	0	3	0	116	0
Precinct 7207 - Vote By Mail	1	108	53	41	5	17	1	3	0	744	231	1	0	1	0	229	0
Precinct 7208 - Election Day	0	22	28	22	2	1	0	1	0	567	76	0	0	0	0	76	0
Precinct 7208 - Vote By Mail	0	80	41	37	15	26	1	0	0	567	206	2	0	4	0	200	0
Precinct 7209 - Election Day	0	36	15	9	3	2	0	4	0	586	69	0	0	0	0	69	0
Precinct 7209 - Vote By Mail	1	160	90	35	8	25	1	4	0	586	326	-2	1	3	0	324	0
Precinct 7301 - Election Day	0	65	20	37	3	18	2	2	0	1,002	150	-1	2	2	0	147	0
Precinct 7301 - Vote By Mail	1	108	57	63	24	18	2	17	0	1,002	299	0	1	8	0	290	0
Precinct 7302 - Election Day	0	35	25	29	7	13	2	7	0	806	121	0	0	3	0	118	0
Precinct 7302 - Vote By Mail	2	141	84	54	21	27	1	18	0	806	352	-1	1	3	0	349	1
Precinct 7303 - Election Day	0	44	46	47	1	20	2	5	0	986	167	-2	0	4	0	165	0
Precinct 7303 - Vote By Mail	1	123	89	52	7	36	1	6	0	986	318	-2	1	4	0	315	0
Precinct 7304 - Election Day	0	67	46	54	6	23	1	2	0	972	203	0	0	3	0	200	1
Precinct 7304 - Vote By Mail	1	116	97	57	12	31	4	6	0	972	330	0	1	3	0	326	2
Precinct 7305 - Election Day	0	43	44	55	7	15	1	2	0	851	171	0	0	4	0	167	0
Precinct 7305 - Vote By Mail	0	127	72	52	12	37	0	2	0	851	306	-1	2	2	0	303	1
Precinct 7306 - Election Day	0	52	41	49	6	20	0	6	0	1,014	179	1	1	3	0	174	0
Precinct 7306 - Vote By Mail	2	102	75	71	7	27	1	13	0	1,014	302	-2	1	3	0	300	2
Precinct 7307 - Election Day	1	53	43	35	1	7	0	1	0	726	143	0	0	1	0	142	1
Precinct 7307 - Vote By Mail	0	67	53	48	9	34	2	10	0	726	226	1	1	1	0	223	0
Precinct 7308 - Election Day	1	46	36	33	3	12	1	1	0	598	133	0	0	0	0	133	0
Precinct 7308 - Vote By Mail	1	79	69	31	8	16	1	0	0	598	204	-4	0	3	0	205	0
Precinct 7309 - Election Day	1	54	40	43	6	14	0	0	0	826	160	0	0	2	0	158	0
Precinct 7309 - Vote By Mail	0	70	64	44	6	19	1	0	0	826	209	3	0	2	0	204	0
