Subtotal Area	MICHELLE BRAVO	LONDON BREED	MARK LENO	JANE KIM	RICHIE GREENBERG	ANGELA ALIOTO	AMY FARAH WEISS	ELLEN LEE ZHOU	ANTOINE R. ROGERS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 9702 - Vote By Mail	1	80	61	55	6	14	2	9	0	710	231	1	0	2	0	228	0
Precinct 9703 - Election Day	0	67	40	37	7	14	4	9	0	931	182	1	0	1	0	180	2
Precinct 9703 - Vote By Mail	1	152	69	83	6	37	3	19	0	931	373	-1	0	4	0	370	0
Precinct 9704 - Election Day	0	67	47	63	2	9	1	3	0	942	191	-1	0	0	0	192	0
Precinct 9704 - Vote By Mail	2	148	78	74	8	29	2	6	0	942	354	1	3	3	0	347	0
Precinct 9705 - Election Day	0	85	38	58	6	14	2	2	0	879	208	0	0	2	0	206	1
Precinct 9705 - Vote By Mail	1	102	91	82	7	13	1	12	0	879	309	0	0	0	0	309	0
Precinct 9706 MB - Vote By Mail	0	10	8	11	1	2	0	0	0	51	32	0	0	0	0	32	0
Precinct 9707 - Election Day	1	50	21	28	3	12	0	4	0	799	121	0	0	2	0	119	0
Precinct 9707 - Vote By Mail	0	129	90	66	11	33	1	21	0	799	355	-1	1	4	0	351	0
Precinct 9708 - Election Day	1	58	46	68	1	10	2	2	0	919	193	1	0	3	0	189	1
Precinct 9708 - Vote By Mail	1	121	80	84	5	14	3	12	0	919	324	1	0	2	0	321	1
Precinct 9709 - Election Day	0	70	33	46	4	27	2	10	0	998	196	0	0	2	0	194	2
Precinct 9709 - Vote By Mail	0	140	78	54	12	32	6	26	0	998	355	0	1	6	0	348	0
Precinct 9711 - Election Day	0	62	52	30	8	11	1	1	0	625	167	0	0	2	0	165	0
Precinct 9711 - Vote By Mail	0	84	77	47	11	27	2	6	0	625	254	-2	1	1	0	254	0
Precinct 9712 - Election Day	0	66	26	23	4	14	0	1	0	651	134	-1	0	1	0	134	0
Precinct 9712 - Vote By Mail	1	124	53	62	16	17	0	3	0	651	288	-1	2	10	0	277	1
Precinct 9713 - Election Day	0	61	28	35	7	11	2	15	0	930	161	0	0	2	0	159	0
Precinct 9713 - Vote By Mail	1	143	61	81	10	25	1	33	0	930	362	-1	0	7	0	356	1
Precinct 9714 - Election Day	1	68	35	18	3	20	2	5	0	911	154	0	0	1	0	153	1
Precinct 9714 - Vote By Mail	0	170	74	55	19	35	4	11	0	911	367	-3	0	2	0	368	0
Precinct 9715 - Election Day	0	88	35	24	2	11	0	1	0	566	162	0	1	0	0	161	0
Precinct 9715 - Vote By Mail	1	95	50	28	14	22	1	5	0	566	218	0	1	1	0	216	0
Precinct 9716 - Election Day	0	69	42	41	5	37	0	3	0	928	198	0	0	0	0	198	1
Precinct 9716 - Vote By Mail	0	132	62	58	14	54	3	40	0	928	368	-1	1	4	0	364	1
Precinct 9717 - Election Day	1	76	35	40	10	36	2	5	0	967	206	0	0	0	0	206	1
Precinct 9717 - Vote By Mail	0	159	69	64	14	36	7	23	0	967	371	-3	0	1	0	373	1
Precinct 9718 - Election Day	0	90	24	31	6	24	1	5	0	843	183	0	0	2	0	181	0
Precinct 9718 - Vote By Mail	2	149	85	66	19	45	0	15	0	843	385	2	0	0	0	383	2
Precinct 9719 - Election Day	0	77	40	31	9	25	1	2	0	863	186	0	0	1	0	185	0
Precinct 9719 - Vote By Mail	0	191	84	51	10	38	2	7	0	863	389	1	0	3	0	385	2
Precinct 9721 - Election Day	2	69	40	28	8	31	0	2	0	653	182	0	0	2	0	180	0
Precinct 9721 - Vote By Mail	1	103	70	21	14	34	0	3	0	653	250	-2	2	2	0	248	2
Precinct 9722 - Election Day	1	45	13	14	4	7	0	1	0	593	86	0	0	1	0	85	0
Precinct 9722 - Vote By Mail	0	107	49	33	18	44	6	12	0	593	269	-3	0	2	0	270	1
Precinct 9723 - Election Day	0	30	16	7	4	13	0	2	0	458	74	0	0	2	0	72	0
Precinct 9723 - Vote By Mail	1	69	44	24	4	37	0	14	0	458	198	-1	0	5	0	194	1
Precinct 9724 - Election Day	0	61	21	18	9	28	0	4	0	950	144	0	0	2	0	142	1
Precinct 9724 - Vote By Mail	1	179	66	38	17	45	1	35	0	950	386	-3	1	6	0	382	0
Precinct 9725 - Election Day	0	52	16	17	5	18	0	5	0	941	118	0	0	4	0	114	1
Precinct 9725 - Vote By Mail	0	142	47	41	24	69	3	19	0	941	350	2	0	3	0	345	0
Precinct 9726 - Election Day	0	24	12	25	6	12	2	2	0	685	83	0	0	0	0	83	0
Precinct 9726 - Vote By Mail	0	43	25	27	10	19	1	9	0	685	137	0	1	2	0	134	0
Precinct 9727 - Election Day	0	32	11	5	2	9	0	1	0	435	60	0	0	0	0	60	0
Precinct 9727 - Vote By Mail	0	75	38	23	16	35	1	13	0	435	205	2	1	1	0	201	0
Precinct 9728 - Election Day	1	80	51	21	7	35	1	6	0	906	204	-1	0	2	0	203	1
Precinct 9728 - Vote By Mail	2	169	81	38	15	47	2	15	0	906	378	-3	2	7	0	372	3
Precinct 9729 - Election Day	1	86	34	10	6	18	0	5	0	782	161	1	0	0	0	160	0
Precinct 9729 - Vote By Mail	2	157	59	23	11	39	2	6	0	782	304	-1	1	3	0	301	2
Precinct 9731 - Election Day	0	59	36	13	8	17	1	1	0	529	138	1	1	1	0	135	0
Precinct 9731 - Vote By Mail	0	82	31	35	10	21	1	4	0	529	189	1	0	1	0	187	3
Precinct 9732 MB - Vote By Mail	0	21	10	6	0	3	0	3	0	73	43	0	0	0	0	43	0
Precinct 9733 MB - Vote By Mail	0	54	42	25	4	14	2	0	0	224	146	0	1	3	0	142	1
Precinct 9734 - Election Day	0	73	28	4	2	9	0	4	0	577	122	0	0	2	0	120	0
Precinct 9734 - Vote By Mail	0	107	69	22	20	32	2	5	0	577	261	0	0	4	0	257	0
Precinct 9735 - Election Day	0	80	40	12	9	17	1	0	0	782	167	1	1	5	0	160	1
Precinct 9735 - Vote By Mail	0	139	84	44	23	45	0	7	0	782	344	0	0	1	0	343	1
Precinct 9736 - Election Day	1	73	21	23	6	13	1	2	0	699	145	1	0	3	0	141	1
Precinct 9736 - Vote By Mail	0	125	73	57	8	28	4	6	0	699	305	-1	1	4	0	301	0
Precinct 9737 - Election Day	0	72	49	30	4	15	1	2	0	792	175	0	0	1	0	174	1
Precinct 9737 - Vote By Mail	0	111	126	58	6	28	2	13	0	792	343	-4	0	3	0	344	0
Precinct 9738 - Election Day	0	27	25	28	4	11	0	1	0	830	99	0	0	3	0	96	0
Precinct 9738 - Vote By Mail	0	88	72	44	13	31	4	4	0	830	263	1	1	4	0	257	1
Precinct 9739 - Election Day	1	30	29	41	7	9	0	3	0	826	126	1	1	3	0	121	1
Precinct 9739 - Vote By Mail	3	71	34	47	7	24	1	3	0	826	193	-4	1	6	0	190	0
Precinct 9741 - Election Day	0	5	4	6	0	2	1	0	0	1,022	19	0	0	1	0	18	0
Precinct 9741 - Vote By Mail	0	7	5	7	0	3	2	0	0	1,022	24	0	0	0	0	24	0
Precinct 9742 - Election Day	1	59	21	23	6	14	0	7	0	647	134	0	0	3	0	131	0
Precinct 9742 - Vote By Mail	0	68	47	26	8	18	0	19	0	647	187	-1	0	2	0	186	0
Precinct 9743 - Election Day	0	52	40	57	4	16	1	1	0	1,093	172	1	0	0	0	171	0
Precinct 9743 - Vote By Mail	3	111	83	66	10	32	4	5	0	1,093	317	-1	0	4	0	314	0
Precinct 9744 - Election Day	1	38	26	47	14	11	1	3	0	902	141	0	0	0	0	141	0
Precinct 9744 - Vote By Mail	1	72	50	53	24	24	1	5	0	902	234	-1	1	3	0	231	1
Precinct 9745 - Election Day	0	48	20	41	8	15	3	1	0	934	141	1	2	2	0	136	0
Precinct 9745 - Vote By Mail	1	72	38	56	13	19	2	4	0	934	205	-1	0	1	0	205	0
Precinct 9746 - Election Day	0	79	35	25	12	30	0	5	0	867	192	-1	0	6	0	187	1
Precinct 9746 - Vote By Mail	0	132	76	46	12	59	0	4	0	867	334	0	1	4	0	329	0
Precinct 9747 - Election Day	0	69	54	45	8	14	0	4	0	940	198	0	0	4	0	194	0
Precinct 9747 - Vote By Mail	0	138	70	49	15	16	3	27	0	940	323	-1	1	5	0	318	0
Precinct 9748 - Election Day	0	79	37	21	5	11	0	9	0	913	164	0	0	2	0	162	0
Precinct 9748 - Vote By Mail	2	118	84	74	16	27	1	15	0	913	342	1	0	4	0	337	0
Precinct 9749 - Election Day	3	53	24	32	8	6	2	14	0	893	143	-1	0	2	0	142	0
Precinct 9749 - Vote By Mail	1	96	46	63	4	16	5	34	0	893	266	-3	0	2	0	267	2
Precinct 9751 - Election Day	2	63	41	26	2	19	2	2	0	977	157	-2	0	2	0	157	0
Precinct 9751 - Vote By Mail	0	137	83	73	11	49	2	22	0	977	384	-2	1	7	0	378	1
Precinct 9752 - Election Day	0	60	27	34	2	11	1	2	0	692	143	-1	1	5	0	138	1
Precinct 9752 - Vote By Mail	1	101	69	66	12	34	2	17	0	692	305	1	0	2	0	302	0
Precinct 9753 - Election Day	1	50	42	36	0	14	1	2	0	735	148	0	0	2	0	146	0
Precinct 9753 - Vote By Mail	2	91	62	67	11	21	2	11	0	735	266	-2	1	0	0	267	0
Precinct 9754 - Election Day	0	54	51	42	2	16	1	3	0	701	169	-1	0	1	0	169	0
Precinct 9754 - Vote By Mail	0	112	82	62	4	24	4	4	0	701	296	2	1	0	0	293	1
Precinct 9755 - Election Day	0	38	32	28	1	13	2	5	0	553	120	-1	0	2	0	119	0
Precinct 9755 - Vote By Mail	0	81	38	38	7	18	0	17	0	553	201	0	0	2	0	199	0
Precinct 9756 - Election Day	0	47	19	32	1	14	3	9	0	908	126	0	0	0	0	126	1
Precinct 9756 - Vote By Mail	1	99	46	58	8	31	7	39	0	908	297	4	0	3	0	290	1
Precinct 9801 - Election Day	1	23	23	9	2	8	1	9	0	399	76	-1	0	1	0	76	0
Precinct 9801 - Vote By Mail	2	57	23	29	3	20	4	8	0	399	148	0	1	0	0	147	1
Congressional District 12	754	81,262	55,456	55,274	5,978	14,684	1,467	7,670	3	426,647	225,360	-377	554	2,214	0	222,969	421
Congressional District 14	136	10,656	5,820	5,370	1,038	2,763	194	1,851	0	55,344	28,223	-56	67	313	0	27,899	71
Assembly District 17	529	52,847	38,964	36,617	3,097	8,261	1,031	4,189	3	280,269	147,301	-254	414	1,341	0	145,800	262
Assembly District 19	361	39,071	22,312	24,027	3,919	9,186	630	5,332	0	201,722	106,282	-179	207	1,186	0	105,068	230
BART District 7	61	7,670	2,652	2,576	402	813	89	799	3	36,166	15,261	-35	41	161	0	15,094	29
BART District 8	379	41,116	23,844	24,322	4,203	9,978	636	6,064	0	215,670	112,119	-201	226	1,304	0	110,790	248
BART District 9	450	43,132	34,780	33,746	2,411	6,656	936	2,658	0	230,155	126,203	-197	354	1,062	0	124,984	215
Supervisorial District 1	92	7,459	4,924	6,258	844	1,488	129	931	0	40,919	22,431	-11	39	231	0	22,172	47
Supervisorial District 2	43	10,407	5,792	3,919	1,041	2,536	118	155	0	48,242	24,389	-22	40	304	0	24,067	56
Supervisorial District 3	43	6,021	4,812	4,638	591	1,306	121	774	0	38,273	18,567	-58	61	217	0	18,347	41
Supervisorial District 4	73	7,113	3,880	5,604	843	1,995	115	2,085	0	41,216	21,994	-67	40	275	0	21,746	38
Supervisorial District 5	64	11,270	6,908	8,101	532	1,105	200	266	0	52,114	28,694	-67	74	205	0	28,482	36
Supervisorial District 6	65	6,436	4,149	4,199	553	1,096	152	557	0	41,151	17,498	-26	68	201	0	17,255	48
Supervisorial District 7	63	10,194	5,975	4,937	969	2,648	175	906	0	46,301	26,230	-30	44	286	0	25,930	63
Supervisorial District 8	81	12,128	12,731	8,232	516	1,521	229	216	0	56,415	36,015	-52	74	287	0	35,706	52
Supervisorial District 9	159	6,704	5,481	7,393	325	1,300	192	738	0	41,665	22,565	-20	74	179	0	22,332	40
Supervisorial District 10	84	8,353	3,228	3,430	314	969	107	1,213	3	39,848	17,900	-40	52	160	0	17,728	27
Supervisorial District 11	123	5,833	3,396	3,933	488	1,483	123	1,680	0	35,847	17,300	-40	55	182	0	17,103	44
Bayview/Hunters Point	37	4,371	1,065	1,126	130	392	41	646	3	19,131	7,881	-28	27	61	0	7,821	10
Chinatown	16	2,640	1,986	2,028	235	521	34	457	0	16,742	8,038	-27	30	100	0	7,935	18
Civic Center/Downtown	48	3,735	3,202	3,348	349	787	130	451	0	27,631	12,231	-35	54	124	0	12,088	38
Diamond Heights	10	1,751	1,465	749	96	261	19	67	0	6,857	4,487	-2	16	45	0	4,428	10
Excelsior	95	3,959	2,651	3,044	377	1,283	99	1,193	0	26,541	12,895	-23	43	141	0	12,734	33
Haight Ashbury	14	3,161	2,089	2,569	109	297	76	22	0	14,552	8,410	-6	20	53	0	8,343	6
Ingleside	36	2,249	926	1,112	137	295	46	600	0	11,506	5,461	-18	13	49	0	5,417	16
Inner Sunset	9	1,997	1,226	1,670	109	242	21	101	0	9,393	5,438	-1	13	43	0	5,383	8
Lake Merced	12	1,221	673	690	183	438	27	120	0	8,641	3,424	-5	8	51	0	3,370	6
Laurel Heights/Anza Vista	10	1,989	1,126	1,250	168	338	31	56	0	9,744	5,037	-3	8	57	0	4,975	7
Marina Pacific Heights	46	7,996	4,590	3,032	849	2,096	83	92	0	38,757	19,070	-34	30	250	0	18,824	40
Mission	104	4,740	3,919	5,809	227	721	160	211	0	30,096	16,088	-15	62	123	0	15,918	27
Noe Valley	27	3,628	3,631	2,460	149	501	57	42	0	16,415	10,584	-23	17	78	0	10,512	17
North Bernal Heights	22	1,597	1,593	1,890	51	221	41	21	0	8,622	5,494	-2	9	41	0	5,446	10
North Embarcadero	9	1,261	910	751	137	342	22	96	0	6,827	3,580	-10	11	45	0	3,534	6
Portola	42	1,495	813	911	122	430	22	552	0	8,914	4,445	-8	11	46	0	4,396	9
Potrero Hill	20	3,092	1,915	2,014	139	405	53	170	0	15,511	7,917	0	14	84	0	7,819	11
Richmond	81	6,487	4,327	5,542	758	1,269	116	883	0	35,688	19,724	-11	31	200	0	19,504	41
Sea Cliff/Presidio Heights	12	2,023	1,110	708	170	411	29	59	0	7,813	4,593	1	11	41	0	4,540	18
South of Bernal Heights	22	1,768	1,613	1,477	77	296	51	76	0	9,230	5,452	-6	16	56	0	5,386	6
South of Market	27	3,896	2,388	2,201	375	646	73	257	0	23,278	10,026	-17	32	124	0	9,887	24
Sunset	71	7,001	3,825	5,501	829	1,977	115	2,080	0	40,651	21,684	-66	40	273	0	21,437	38
Upper Market/Eureka Valley	14	3,907	5,093	2,349	141	406	75	28	0	18,424	12,111	-15	19	80	0	12,027	14
Visitation Valley	29	1,437	468	534	67	223	15	414	0	7,867	3,226	-8	10	31	0	3,193	6
West of Twin Peaks	45	8,275	4,890	3,712	739	2,087	125	647	0	33,960	20,797	-24	31	218	0	20,572	52
Western Addition	32	6,242	3,782	4,167	293	562	100	180	0	29,200	15,490	-47	45	113	0	15,379	21
