Subtotal Area	CURTIS KARNOW	MARIA EVANGELISTA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7516 - None	191	118	886	378	0	0	67	311	2
Precinct 7517 - None	59	116	863	228	-1	0	54	175	0
Precinct 7517 - None	91	105	863	251	0	0	54	197	1
Precinct 7518 - None	75	107	939	235	0	0	51	184	2
Precinct 7518 - None	105	140	939	298	0	0	53	245	0
Precinct 7519 - None	47	101	726	179	0	0	31	148	0
Precinct 7519 - None	62	78	726	185	1	0	44	140	0
Precinct 7521 - None	64	96	802	211	0	0	51	160	0
Precinct 7521 - None	86	80	802	215	-1	0	50	166	0
Precinct 7522 - None	51	86	743	175	-1	0	39	137	0
Precinct 7522 - None	78	116	743	240	-2	0	48	194	0
Precinct 7523 - None	44	128	737	208	0	0	35	173	1
Precinct 7523 - None	91	91	737	223	-2	0	42	183	1
Precinct 7524 - None	48	56	646	143	2	0	36	105	1
Precinct 7524 - None	57	76	646	165	1	0	30	134	1
Precinct 7525 - None	36	70	779	145	-3	0	40	108	2
Precinct 7525 - None	82	76	779	214	4	1	51	158	0
Precinct 7526 - None	67	95	947	197	1	0	33	163	1
Precinct 7526 - None	141	106	947	313	2	1	62	248	1
Precinct 7527/7528 - None	44	74	729	162	0	0	44	118	0
Precinct 7527/7528 - None	95	88	729	237	4	0	48	185	2
Precinct 7529 - None	56	116	925	214	-1	0	39	176	4
Precinct 7529 - None	99	141	925	300	2	0	58	240	0
Precinct 7531 - None	46	85	847	179	0	0	48	131	0
Precinct 7531 - None	91	113	847	263	0	0	58	205	1
Precinct 7532 - None	54	73	823	172	1	0	43	128	1
Precinct 7532 - None	106	74	823	226	0	0	45	181	1
Precinct 7533 - None	78	138	951	268	-1	0	52	217	1
Precinct 7533 - None	109	139	951	297	0	0	49	248	0
Precinct 7534 - None	69	131	883	241	0	0	41	200	0
Precinct 7534 - None	94	109	883	240	-1	0	38	203	0
Precinct 7535 - None	60	98	743	201	0	0	41	160	2
Precinct 7535 - None	102	106	743	251	0	0	43	208	0
Precinct 7536 - None	58	99	856	206	-1	0	49	158	1
Precinct 7536 - None	111	107	856	279	0	0	61	218	0
Precinct 7537 - None	57	85	734	187	0	0	43	144	2
Precinct 7537 - None	90	89	734	225	1	0	45	179	0
Precinct 7538 - None	57	113	757	223	0	0	53	170	0
Precinct 7538 - None	111	97	757	256	0	0	47	209	1
Precinct 7539 - None	61	134	884	250	1	0	54	195	0
Precinct 7539 - None	103	122	884	286	-1	0	62	225	0
Precinct 7541 - None	60	96	791	215	1	0	58	156	0
Precinct 7541 - None	105	91	791	245	1	0	48	196	0
Precinct 7542 - None	56	87	787	183	0	0	40	143	0
Precinct 7542 - None	81	118	787	247	1	0	47	199	0
Precinct 7543 - None	61	82	910	187	-2	0	45	144	1
Precinct 7543 - None	138	142	910	332	0	0	52	280	0
Precinct 7544 - None	62	82	877	186	0	0	40	146	2
Precinct 7544 - None	130	133	877	331	-3	0	68	266	3
Precinct 7545 - None	62	85	877	179	-1	0	33	147	0
Precinct 7545 - None	120	109	877	291	0	1	60	230	1
Precinct 7546 - None	82	94	913	219	0	0	41	178	2
Precinct 7546 - None	141	125	913	310	1	0	43	266	0
Precinct 7547 - None	68	113	987	244	-2	0	64	182	1
Precinct 7547 - None	98	155	987	322	5	0	64	253	0
Precinct 7548 - None	80	108	1,054	236	1	0	46	189	1
