Subtotal Area	STEVE POIZNER	RICARDO LARA	NATHALIE HRIZI	ASIF MAHMOOD	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7339 - None	32	79	12	34	618	181	1	1	22	157	0
Precinct 7341 - None	22	36	23	19	877	124	0	0	22	102	2
Precinct 7341 - None	50	91	35	44	877	246	-2	0	28	220	0
Precinct 7342 - None	42	84	27	30	911	234	3	2	45	184	1
Precinct 7342 - None	70	82	26	30	911	251	0	0	43	208	0
Precinct 7343 - None	19	50	25	21	707	144	0	0	29	115	0
Precinct 7343 - None	37	59	29	32	707	186	3	1	25	157	0
Precinct 7344 - None	35	63	28	21	1,039	179	-1	0	31	149	2
Precinct 7344 - None	79	131	39	43	1,039	334	-1	0	43	292	0
Precinct 7345 - None	44	58	30	25	1,077	183	0	0	26	157	0
Precinct 7345 - None	61	112	24	40	1,077	283	2	1	42	238	1
Precinct 7346 - None	33	56	29	21	877	168	1	0	27	140	1
Precinct 7346 - None	47	78	32	27	877	221	-1	1	36	185	1
Precinct 7347 - None	16	54	28	19	968	137	0	0	20	117	0
Precinct 7347 - None	51	121	37	39	968	279	0	0	28	251	3
Precinct 7348 - None	30	53	18	19	832	139	-1	0	19	121	1
Precinct 7348 - None	56	77	18	25	832	202	1	0	25	176	0
Precinct 7349 - None	29	48	17	29	921	147	-1	1	23	124	1
Precinct 7349 - None	68	112	27	25	921	282	0	0	49	233	1
Precinct 7501 - None	47	31	5	11	554	118	-1	0	24	95	1
Precinct 7501 - None	56	56	6	15	554	168	0	0	35	133	0
Precinct 7502 - None	27	29	15	18	741	113	1	0	21	91	2
Precinct 7502 - None	99	110	29	49	741	349	-4	1	62	290	3
Precinct 7503 - None	33	44	12	19	727	132	1	0	23	108	0
Precinct 7503 - None	62	73	16	30	727	226	2	1	42	181	0
Precinct 7504 - None	17	28	6	10	484	76	0	0	15	61	0
Precinct 7504 - None	37	58	10	22	484	158	1	0	27	130	3
Precinct 7505 - None	45	41	8	12	871	131	0	0	24	107	1
Precinct 7505 - None	125	153	21	37	871	417	1	1	79	336	0
Precinct 7506 - None	31	46	15	17	920	133	1	0	23	109	0
Precinct 7506 - None	62	108	17	28	920	252	2	0	35	215	0
Precinct 7507 - None	24	67	14	19	919	158	-1	0	34	125	1
Precinct 7507 - None	34	108	33	34	919	255	4	0	42	209	0
