Subtotal Area	NIKI JUDITH SOLIS	JEFFREY S. ROSS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7342 - None	89	89	911	234	3	0	52	179	1
Precinct 7342 - None	66	132	911	251	0	0	53	198	0
Precinct 7343 - None	64	41	707	144	0	0	39	105	0
Precinct 7343 - None	87	59	707	186	3	0	37	146	0
Precinct 7344 - None	64	76	1,039	179	-1	0	39	141	1
Precinct 7344 - None	118	163	1,039	334	-1	0	54	281	0
Precinct 7345 - None	80	60	1,077	183	0	0	41	142	2
Precinct 7345 - None	88	132	1,077	283	2	0	58	223	3
Precinct 7346 - None	81	53	877	168	1	0	32	135	1
Precinct 7346 - None	87	95	877	221	-1	0	38	184	2
Precinct 7347 - None	67	43	968	137	0	0	25	112	2
Precinct 7347 - None	115	124	968	279	0	0	40	239	0
Precinct 7348 - None	52	60	832	139	-1	0	27	113	1
Precinct 7348 - None	67	94	832	202	1	0	40	161	0
Precinct 7349 - None	53	63	921	147	-1	1	28	119	3
Precinct 7349 - None	81	147	921	282	0	0	51	231	3
Precinct 7501 - None	32	52	554	118	-1	0	35	84	0
Precinct 7501 - None	34	96	554	168	0	0	38	130	0
Precinct 7502 - None	46	35	741	113	1	0	29	83	2
Precinct 7502 - None	91	192	741	349	-4	0	69	284	1
Precinct 7503 - None	39	59	727	132	1	0	32	99	1
Precinct 7503 - None	64	117	727	226	2	0	43	181	0
Precinct 7504 - None	23	34	484	76	0	0	19	57	0
Precinct 7504 - None	37	84	484	158	1	0	34	123	2
Precinct 7505 - None	25	74	871	131	0	0	31	100	1
Precinct 7505 - None	75	260	871	417	1	1	78	337	2
Precinct 7506 - None	52	48	920	133	1	0	31	101	1
Precinct 7506 - None	85	105	920	252	2	0	60	190	0
Precinct 7507 - None	49	62	919	158	-1	0	46	113	2
Precinct 7507 - None	90	119	919	255	4	0	41	210	1
Precinct 7508 - None	26	58	702	106	0	0	21	85	1
Precinct 7508 - None	85	170	702	340	0	1	82	257	2
Precinct 7509/7511 - None	63	77	909	171	-2	0	31	142	2
Precinct 7509/7511 - None	104	158	909	319	0	0	56	263	1
Precinct 7512 - None	28	37	604	96	2	0	28	66	1
Precinct 7512 - None	68	93	604	196	2	1	32	161	0
Precinct 7513 - None	57	55	790	142	0	0	30	112	0
Precinct 7513 - None	72	87	790	208	0	0	47	161	2
Precinct 7514 - None	23	35	863	95	-2	0	37	60	2
Precinct 7514 - None	87	103	863	235	2	1	42	190	0
Precinct 7515 - None	57	51	845	150	0	1	39	110	2
Precinct 7515 - None	79	134	845	289	3	0	73	213	0
Precinct 7516 - None	45	66	886	145	0	0	33	112	1
Precinct 7516 - None	103	211	886	378	0	0	61	317	3
Precinct 7517 - None	103	71	863	228	-1	0	55	174	0
Precinct 7517 - None	103	96	863	251	0	0	52	199	0
Precinct 7518 - None	98	83	939	235	0	0	54	181	0
Precinct 7518 - None	136	108	939	298	0	0	54	244	0
Precinct 7519 - None	90	56	726	179	0	0	33	146	0
Precinct 7519 - None	71	70	726	185	1	0	43	141	0
Precinct 7521 - None	95	67	802	211	0	0	49	162	0
Precinct 7521 - None	85	81	802	215	-1	1	49	166	0
Precinct 7522 - None	84	53	743	175	-1	0	39	137	0
Precinct 7522 - None	113	79	743	240	-2	0	50	192	0
Precinct 7523 - None	125	42	737	208	0	0	39	169	2
Precinct 7523 - None	93	91	737	223	-2	0	41	184	0
Precinct 7524 - None	55	51	646	143	2	0	33	108	2
Precinct 7524 - None	70	66	646	165	1	0	28	136	0
Precinct 7525 - None	60	47	779	145	-3	0	39	109	2
Precinct 7525 - None	79	83	779	214	4	0	46	164	2
Precinct 7526 - None	93	67	947	197	1	0	34	162	2
Precinct 7526 - None	105	144	947	313	2	0	62	249	0
Precinct 7527/7528 - None	65	52	729	162	0	0	45	117	0
Precinct 7527/7528 - None	78	100	729	237	4	1	52	180	2
Precinct 7529 - None	115	56	925	214	-1	0	42	173	2
Precinct 7529 - None	140	102	925	300	2	0	55	243	1
Precinct 7531 - None	79	51	847	179	0	0	49	130	0
Precinct 7531 - None	104	96	847	263	0	0	62	201	1
Precinct 7532 - None	67	63	823	172	1	0	41	130	0
Precinct 7532 - None	69	109	823	226	0	0	48	178	0
Precinct 7533 - None	132	82	951	268	-1	0	54	215	1
Precinct 7533 - None	136	111	951	297	0	0	50	247	0
Precinct 7534 - None	124	76	883	241	0	0	41	200	0
Precinct 7534 - None	104	99	883	240	-1	0	38	203	0
Precinct 7535 - None	93	69	743	201	0	0	38	163	1
Precinct 7535 - None	106	102	743	251	0	0	43	208	0
Precinct 7536 - None	92	63	856	206	-1	0	52	155	0
Precinct 7536 - None	104	114	856	279	0	0	61	218	0
Precinct 7537 - None	86	59	734	187	0	0	40	147	2
Precinct 7537 - None	85	90	734	225	1	0	49	175	0
Precinct 7538 - None	103	62	757	223	0	0	57	166	1
Precinct 7538 - None	97	112	757	256	0	0	46	210	1
Precinct 7539 - None	134	61	884	250	1	0	54	195	0
Precinct 7539 - None	115	107	884	286	-1	0	65	222	0
Precinct 7541 - None	85	67	791	215	1	0	62	152	0
Precinct 7541 - None	91	104	791	245	1	0	49	195	0
Precinct 7542 - None	86	57	787	183	0	0	40	143	0
Precinct 7542 - None	111	89	787	247	1	0	46	200	0
Precinct 7543 - None	74	64	910	187	-2	0	50	139	1
Precinct 7543 - None	125	154	910	332	0	0	53	279	0
Precinct 7544 - None	80	66	877	186	0	0	38	148	2
Precinct 7544 - None	137	128	877	331	-3	0	66	268	3
Precinct 7545 - None	81	63	877	179	-1	0	35	145	1
Precinct 7545 - None	99	130	877	291	0	0	60	231	2
Precinct 7546 - None	82	97	913	219	0	0	39	180	1
Precinct 7546 - None	128	140	913	310	1	1	40	268	0
Precinct 7547 - None	107	71	987	244	-2	0	67	179	1
Precinct 7547 - None	139	113	987	322	5	0	65	252	0
Precinct 7548 - None	100	84	1,054	236	1	0	50	185	1
Precinct 7548 - None	119	164	1,054	345	4	0	56	285	2
Precinct 7549 - None	65	64	785	165	-2	0	38	129	0
Precinct 7549 - None	117	108	785	281	1	0	55	225	0
Precinct 7551 - None	76	83	705	199	-1	0	40	160	1
Precinct 7551 - None	87	107	705	240	2	0	44	194	0
Precinct 7552 - None	71	81	718	191	0	0	39	152	0
Precinct 7552 - None	70	118	718	232	0	0	44	188	0
Precinct 7553 MB - None	25	52	171	87	2	0	8	77	0
Precinct 7554 - None	55	80	785	179	-1	0	42	138	3
Precinct 7554 - None	66	179	785	323	0	0	78	245	0
Precinct 7555 - None	71	121	847	242	0	0	49	193	1
Precinct 7555 - None	93	165	847	304	1	0	45	258	0
Precinct 7556/7557 - None	64	105	961	223	-3	0	57	169	0
Precinct 7556/7557 - None	88	259	961	422	1	0	74	347	0
Precinct 7601 - None	52	48	744	128	-1	0	27	102	2
Precinct 7601 - None	69	78	744	185	3	0	33	149	2
Precinct 7602 - None	60	57	880	147	-3	0	32	118	1
Precinct 7602 - None	93	101	880	243	3	1	45	194	0
Precinct 7603 - None	65	49	826	152	1	0	37	114	0
Precinct 7603 - None	83	94	826	215	0	0	38	177	0
Precinct 7604 - None	49	53	906	133	0	0	28	105	3
Precinct 7604 - None	90	106	906	233	-2	0	38	197	1
Precinct 7605 - None	28	33	651	77	0	0	16	61	0
Precinct 7605 - None	41	76	651	155	3	0	33	119	2
Precinct 7606 - None	53	45	895	127	1	0	28	98	0
Precinct 7606 - None	89	77	895	212	1	0	41	170	4
Precinct 7607 - None	47	49	955	120	0	0	23	97	1
Precinct 7607 - None	89	138	955	265	-4	1	41	227	0
Precinct 7608 - None	10	23	388	46	1	0	11	34	1
Precinct 7608 - None	32	72	388	119	-2	0	17	104	0
Precinct 7609 - None	29	39	916	101	0	0	32	69	1
Precinct 7609 - None	61	180	916	297	2	0	54	241	0
Precinct 7611 - None	29	28	756	76	0	0	18	58	1
Precinct 7611 - None	57	103	756	204	2	0	41	161	1
Precinct 7612 - None	19	42	574	76	0	0	15	61	0
Precinct 7612 - None	49	115	574	210	-1	0	47	164	0
Precinct 7613 - None	55	54	887	140	0	0	31	109	0
Precinct 7613 - None	74	94	887	215	2	0	45	168	0
Precinct 7614 - None	53	44	1,015	123	-2	0	28	97	0
Precinct 7614 - None	106	97	1,015	238	0	0	32	206	3
Precinct 7615 - None	34	39	832	108	0	2	31	75	2
Precinct 7615 - None	36	95	832	170	0	0	38	132	1
Precinct 7616 - None	51	53	951	129	-1	0	24	106	2
Precinct 7616 - None	111	159	951	331	2	0	59	270	0
Precinct 7617 - None	26	36	751	84	-1	0	22	63	1
Precinct 7617 - None	54	114	751	223	2	0	53	168	0
Precinct 7618 - None	53	37	866	123	1	0	32	90	0
Precinct 7618 - None	98	128	866	272	-3	0	48	227	1
Precinct 7619 - None	79	39	993	154	-1	0	37	118	0
Precinct 7619 - None	113	142	993	308	-1	0	54	255	0
Precinct 7621 - None	68	67	1,132	163	-1	0	26	138	3
Precinct 7621 - None	114	166	1,132	346	3	0	60	283	3
Precinct 7622 - None	38	37	964	99	2	0	22	75	0
Precinct 7622 - None	70	84	964	193	1	1	36	155	1
Precinct 7623 - None	57	49	712	122	-15	1	29	107	1
Precinct 7623 - None	60	104	712	196	2	0	30	164	0
Precinct 7624 - None	39	48	905	104	1	0	15	88	1
