Subtotal Area	LISA REMMER	NANCY PELOSI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7526 - Election Day	19	261	1,011	292	0	1	11	280
Precinct 7526 - Vote By Mail	27	511	1,011	552	0	0	14	538
Precinct 7527/7528 - Election Day	27	171	725	211	0	1	12	198
Precinct 7527/7528 - Vote By Mail	32	289	725	339	0	1	17	321
Precinct 7529 - Election Day	19	263	948	295	0	0	13	282
Precinct 7529 - Vote By Mail	19	448	948	486	0	0	19	467
Precinct 7531 - Election Day	15	202	865	228	0	0	11	217
Precinct 7531 - Vote By Mail	18	409	865	442	0	0	15	427
Precinct 7532 - Election Day	24	205	852	246	0	0	17	229
Precinct 7532 - Vote By Mail	41	342	852	398	0	0	15	383
Precinct 7533 - Election Day	21	317	1,015	357	0	0	19	338
Precinct 7533 - Vote By Mail	39	430	1,015	490	0	0	21	469
Precinct 7534 - Election Day	20	285	936	322	0	0	17	305
Precinct 7534 - Vote By Mail	29	370	936	415	0	0	16	399
Precinct 7535 - Election Day	14	231	767	262	0	0	17	245
Precinct 7535 - Vote By Mail	22	345	767	387	0	1	19	367
Precinct 7536 - Election Day	10	265	863	291	0	0	16	275
Precinct 7536 - Vote By Mail	24	386	863	421	0	0	11	410
Precinct 7537 - Election Day	21	209	752	240	0	0	10	230
Precinct 7537 - Vote By Mail	22	328	752	363	0	0	13	350
Precinct 7538 - Election Day	14	222	771	246	0	0	10	236
Precinct 7538 - Vote By Mail	20	369	771	400	0	0	11	389
Precinct 7539 - Election Day	19	292	922	330	0	0	19	311
Precinct 7539 - Vote By Mail	19	386	922	428	0	0	23	405
Precinct 7541 - Election Day	10	231	805	248	0	0	7	241
Precinct 7541 - Vote By Mail	19	361	805	400	0	0	20	380
Precinct 7542 - Election Day	15	239	821	272	0	0	18	254
Precinct 7542 - Vote By Mail	16	357	821	389	0	0	16	373
Precinct 7543 - Election Day	4	203	909	216	0	0	9	207
Precinct 7543 - Vote By Mail	24	429	909	467	0	0	14	453
Precinct 7544 - Election Day	23	220	898	258	0	0	15	243
Precinct 7544 - Vote By Mail	18	439	898	479	0	0	22	457
Precinct 7545 - Election Day	20	237	918	273	0	0	16	257
Precinct 7545 - Vote By Mail	46	410	918	480	0	0	24	456
Precinct 7546 - Election Day	23	266	982	304	0	0	15	289
Precinct 7546 - Vote By Mail	23	470	982	517	0	0	24	493
Precinct 7547 - Election Day	17	280	1,029	315	0	0	18	297
Precinct 7547 - Vote By Mail	24	451	1,029	505	0	0	30	475
Precinct 7548 - Election Day	17	284	1,073	319	1	0	17	301
Precinct 7548 - Vote By Mail	31	465	1,073	512	0	0	16	496
Precinct 7549 - Election Day	21	182	811	215	0	0	12	203
Precinct 7549 - Vote By Mail	36	381	811	431	0	0	14	417
Precinct 7551 - Election Day	15	211	741	239	0	0	13	226
Precinct 7551 - Vote By Mail	19	359	741	394	0	1	15	378
Precinct 7552 - Election Day	13	224	727	241	0	0	4	237
Precinct 7552 - Vote By Mail	21	329	727	361	0	0	11	350
Precinct 7553 MB - Vote By Mail	14	108	180	126	0	0	4	122
Precinct 7554 - Election Day	21	218	808	247	0	0	8	239
Precinct 7554 - Vote By Mail	34	391	808	442	0	0	17	425
Precinct 7555 - Election Day	16	267	886	290	0	0	7	283
Precinct 7555 - Vote By Mail	29	419	886	459	0	0	11	448
Precinct 7556/7557 - Election Day	37	232	969	275	0	0	6	269
Precinct 7556/7557 - Vote By Mail	35	526	969	573	0	0	12	561
Precinct 7601 - Election Day	22	155	767	191	0	0	14	177
Precinct 7601 - Vote By Mail	33	240	767	290	0	0	17	273
Precinct 7602 - Election Day	20	178	901	213	0	0	15	198
Precinct 7602 - Vote By Mail	34	326	901	379	0	0	19	360
Precinct 7603 - Election Day	20	217	830	250	0	0	13	237
Precinct 7603 - Vote By Mail	33	323	830	376	0	0	20	356
Precinct 7604 - Election Day	30	210	954	266	0	0	26	240
Precinct 7604 - Vote By Mail	40	300	954	352	0	0	12	340
Precinct 7605 - Election Day	13	98	648	120	0	0	9	111
Precinct 7605 - Vote By Mail	27	161	648	203	0	2	13	188
Precinct 7606 - Election Day	25	158	924	205	0	0	22	183
Precinct 7606 - Vote By Mail	47	266	924	330	0	1	16	313
Precinct 7607 - Election Day	23	171	960	215	0	0	21	194
Precinct 7607 - Vote By Mail	52	332	960	407	0	0	23	384
Precinct 7608 - Election Day	14	52	392	70	0	0	4	66
Precinct 7608 - Vote By Mail	29	91	392	136	0	0	16	120
Precinct 7609 - Election Day	18	84	926	120	0	1	17	102
Precinct 7609 - Vote By Mail	43	263	926	352	0	0	46	306
Precinct 7611 - Election Day	18	98	755	126	0	0	10	116
Precinct 7611 - Vote By Mail	30	203	755	269	0	0	36	233
Precinct 7612 - Election Day	17	72	583	97	0	1	7	89
Precinct 7612 - Vote By Mail	39	199	583	265	0	0	27	238
Precinct 7613 - Election Day	17	172	908	204	0	0	15	189
Precinct 7613 - Vote By Mail	52	267	908	340	0	0	21	319
Precinct 7614 - Election Day	26	175	1,029	223	0	1	21	201
Precinct 7614 - Vote By Mail	48	308	1,029	375	0	1	18	356
Precinct 7615 - Election Day	26	116	762	162	0	0	20	142
Precinct 7615 - Vote By Mail	29	183	762	237	0	1	24	212
Precinct 7616 - Election Day	39	272	1,203	324	0	0	13	311
Precinct 7616 - Vote By Mail	68	602	1,203	686	0	0	16	670
Precinct 7617 - Election Day	9	81	768	102	0	0	12	90
Precinct 7617 - Vote By Mail	39	203	768	261	0	0	19	242
Precinct 7618 - Election Day	14	140	862	168	0	0	14	154
Precinct 7618 - Vote By Mail	42	350	862	407	0	0	15	392
Precinct 7619 - Election Day	29	174	1,063	219	0	0	16	203
Precinct 7619 - Vote By Mail	50	482	1,063	563	0	1	30	532
Precinct 7621 - Election Day	32	239	1,320	287	0	0	16	271
Precinct 7621 - Vote By Mail	76	555	1,320	668	0	0	37	631
Precinct 7622 - Election Day	16	139	988	170	0	0	15	155
Precinct 7622 - Vote By Mail	35	245	988	301	0	0	21	280
Precinct 7623 - Election Day	16	146	746	184	0	0	22	162
Precinct 7623 - Vote By Mail	30	246	746	297	0	0	21	276
Precinct 7624 - Election Day	21	109	859	142	0	0	12	130
Precinct 7624 - Vote By Mail	34	241	859	290	0	1	14	275
Precinct 7625 - Election Day	14	46	822	66	0	0	6	60
Precinct 7625 - Vote By Mail	95	314	822	475	0	0	66	409
Precinct 7626 - Election Day	23	190	1,114	227	0	0	14	213
Precinct 7626 - Vote By Mail	71	510	1,114	612	0	0	31	581
Precinct 7627 - Election Day	42	209	1,187	267	0	0	16	251
Precinct 7627 - Vote By Mail	125	435	1,187	582	0	0	22	560
Precinct 7628 - Election Day	28	201	960	241	0	0	12	229
Precinct 7628 - Vote By Mail	25	388	960	428	0	1	14	413
Precinct 7629 - Election Day	19	172	809	208	0	0	17	191
Precinct 7629 - Vote By Mail	36	294	809	343	0	0	13	330
Precinct 7631 - Election Day	36	216	1,155	270	0	1	17	252
Precinct 7631 - Vote By Mail	64	490	1,155	577	0	0	23	554
Precinct 7632 - Election Day	32	237	1,124	289	0	0	20	269
Precinct 7632 - Vote By Mail	46	494	1,124	561	0	0	21	540
Precinct 7633 - Election Day	17	112	741	137	0	0	8	129
Precinct 7633 - Vote By Mail	49	314	741	392	0	0	29	363
