Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7644 - None	35	278	1,175	330	0	0	17	313
Precinct 7644 - None	50	482	1,175	554	0	0	22	532
Precinct 7645 - None	19	94	640	120	0	0	7	113
Precinct 7645 - None	67	296	640	377	0	0	14	363
Precinct 7646 - None	30	222	1,100	267	0	0	15	252
Precinct 7646 - None	62	505	1,100	592	0	0	25	567
Precinct 7647 - None	19	174	1,075	205	0	0	12	193
Precinct 7647 - None	24	242	1,075	283	0	0	17	266
Precinct 7648 MB - None	0	0	1	0	0	0	0	0
Precinct 7649 - None	12	155	891	178	0	0	11	167
Precinct 7649 - None	57	317	891	395	0	0	21	374
Precinct 7651 - None	23	134	677	166	1	0	8	157
Precinct 7651 - None	42	289	677	351	0	0	20	331
Precinct 7652 - None	16	115	628	135	0	0	4	131
Precinct 7652 - None	29	251	628	301	0	1	20	280
Precinct 7653 - None	26	250	1,280	300	0	0	24	276
Precinct 7653 - None	71	570	1,280	673	0	0	32	641
Precinct 7701 - None	27	257	1,064	296	0	0	12	284
Precinct 7701 - None	55	518	1,064	597	0	0	24	573
Precinct 7702 - None	18	152	748	180	0	0	10	170
Precinct 7702 - None	58	336	748	415	0	0	21	394
Precinct 7703 MB - None	10	57	171	79	0	1	11	67
Precinct 7704 - None	39	205	1,008	257	0	0	13	244
