Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 7633 - Vote By Mail	283	63	741	392	0	0	46	346
Precinct 7634 - Election Day	113	43	900	195	0	0	39	156
Precinct 7634 - Vote By Mail	290	81	900	421	0	0	50	371
Precinct 7635 - Election Day	89	43	840	158	0	0	26	132
Precinct 7635 - Vote By Mail	245	76	840	382	0	1	60	321
Precinct 7636 - Election Day	149	64	938	251	0	0	38	213
Precinct 7636 - Vote By Mail	336	79	938	465	0	0	50	415
Precinct 7637 - Election Day	121	41	809	193	0	0	31	162
Precinct 7637 - Vote By Mail	279	75	809	404	0	0	50	354
Precinct 7638 - Election Day	185	67	1,467	295	0	0	43	252
Precinct 7638 - Vote By Mail	620	132	1,467	871	1	0	118	752
Precinct 7639 - Election Day	137	59	1,011	242	0	0	46	196
Precinct 7639 - Vote By Mail	370	100	1,011	559	0	0	89	470
Precinct 7641 - Election Day	121	43	972	205	0	0	41	164
Precinct 7641 - Vote By Mail	393	88	972	549	0	2	66	481
Precinct 7642 - Election Day	97	36	937	153	0	0	20	133
Precinct 7642 - Vote By Mail	224	108	937	394	0	0	62	332
Precinct 7643 - Election Day	113	30	920	169	0	1	25	143
Precinct 7643 - Vote By Mail	356	102	920	507	0	1	48	458
Precinct 7644 - Election Day	210	72	1,175	330	0	1	47	282
Precinct 7644 - Vote By Mail	384	104	1,175	554	0	0	66	488
Precinct 7645 - Election Day	69	32	640	120	0	0	19	101
Precinct 7645 - Vote By Mail	267	57	640	377	0	0	53	324
Precinct 7646 - Election Day	161	67	1,100	267	0	0	39	228
Precinct 7646 - Vote By Mail	433	85	1,100	592	0	0	74	518
Precinct 7647 - Election Day	110	71	1,075	205	0	1	23	181
Precinct 7647 - Vote By Mail	165	92	1,075	283	0	0	26	257
Precinct 7648 MB - Vote By Mail	0	0	1	0	0	0	0	0
Precinct 7649 - Election Day	104	58	891	178	0	0	16	162
Precinct 7649 - Vote By Mail	247	102	891	395	0	0	46	349
Precinct 7651 - Election Day	88	46	677	166	1	0	31	134
Precinct 7651 - Vote By Mail	237	73	677	351	0	0	41	310
Precinct 7652 - Election Day	80	33	628	135	0	0	22	113
Precinct 7652 - Vote By Mail	204	54	628	301	0	1	42	258
Precinct 7653 - Election Day	187	63	1,280	300	0	0	50	250
