Subtotal Area	RICARDO LARA	STEVE POIZNER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7508 - Election Day	101	34	727	154	0	0	19	135
Precinct 7508 - Vote By Mail	250	136	727	427	0	0	41	386
Precinct 7509/7511 - Election Day	160	57	932	235	2	0	16	217
Precinct 7509/7511 - Vote By Mail	339	102	932	470	1	2	26	441
Precinct 7512 - Election Day	85	51	612	150	0	0	14	136
Precinct 7512 - Vote By Mail	170	92	612	283	0	0	21	262
Precinct 7513 - Election Day	149	42	818	225	0	1	33	191
Precinct 7513 - Vote By Mail	204	80	818	315	0	2	29	284
Precinct 7514 - Election Day	102	23	874	140	0	1	14	125
Precinct 7514 - Vote By Mail	204	61	874	305	0	0	40	265
Precinct 7515 - Election Day	154	31	869	212	0	0	27	185
Precinct 7515 - Vote By Mail	262	90	869	389	0	0	37	352
Precinct 7516 - Election Day	116	46	922	172	0	0	10	162
Precinct 7516 - Vote By Mail	342	144	922	538	0	1	51	486
Precinct 7517 - Election Day	218	50	863	289	0	0	21	268
Precinct 7517 - Vote By Mail	280	99	863	410	0	0	31	379
Precinct 7518 - Election Day	225	60	950	309	0	0	24	285
Precinct 7518 - Vote By Mail	330	109	950	480	0	1	40	439
Precinct 7519 - Election Day	171	42	737	224	0	0	11	213
Precinct 7519 - Vote By Mail	237	86	737	355	0	0	32	323
Precinct 7521 - Election Day	206	55	812	292	0	0	31	261
Precinct 7521 - Vote By Mail	243	89	812	354	0	0	22	332
Precinct 7522 - Election Day	154	42	764	207	0	0	11	196
Precinct 7522 - Vote By Mail	292	89	764	397	0	0	16	381
Precinct 7523 - Election Day	203	50	747	275	0	0	22	253
Precinct 7523 - Vote By Mail	247	86	747	359	0	0	26	333
Precinct 7524 - Election Day	122	36	615	181	0	0	23	158
Precinct 7524 - Vote By Mail	180	62	615	262	0	0	20	242
Precinct 7525 - Election Day	152	37	800	205	0	0	16	189
Precinct 7525 - Vote By Mail	233	79	800	341	0	0	29	312
Precinct 7526 - Election Day	189	77	1,011	292	0	1	25	266
Precinct 7526 - Vote By Mail	373	128	1,011	552	0	0	51	501
Precinct 7527/7528 - Election Day	132	58	725	211	0	1	20	190
Precinct 7527/7528 - Vote By Mail	239	70	725	339	0	1	29	309
Precinct 7529 - Election Day	208	60	948	295	0	0	27	268
Precinct 7529 - Vote By Mail	354	103	948	486	0	0	29	457
Precinct 7531 - Election Day	174	45	865	228	0	0	9	219
Precinct 7531 - Vote By Mail	318	95	865	442	0	0	29	413
Precinct 7532 - Election Day	173	47	852	246	0	0	26	220
Precinct 7532 - Vote By Mail	252	118	852	398	0	1	27	370
Precinct 7533 - Election Day	269	70	1,015	357	0	0	18	339
Precinct 7533 - Vote By Mail	324	125	1,015	490	0	0	41	449
Precinct 7534 - Election Day	238	60	936	322	0	0	24	298
Precinct 7534 - Vote By Mail	281	103	936	415	0	0	31	384
Precinct 7535 - Election Day	190	55	767	262	0	0	17	245
Precinct 7535 - Vote By Mail	275	85	767	387	0	0	27	360
Precinct 7536 - Election Day	213	56	863	291	0	0	22	269
Precinct 7536 - Vote By Mail	309	91	863	421	0	0	21	400
Precinct 7537 - Election Day	177	44	752	240	0	0	19	221
Precinct 7537 - Vote By Mail	261	77	752	363	0	0	25	338
Precinct 7538 - Election Day	184	52	771	246	0	0	10	236
Precinct 7538 - Vote By Mail	286	87	771	400	0	0	27	373
Precinct 7539 - Election Day	258	42	922	330	0	0	30	300
Precinct 7539 - Vote By Mail	297	91	922	428	0	0	40	388
Precinct 7541 - Election Day	187	49	805	248	0	0	12	236
Precinct 7541 - Vote By Mail	293	78	805	400	0	0	29	371
Precinct 7542 - Election Day	203	49	821	272	0	0	20	252
Precinct 7542 - Vote By Mail	287	79	821	389	0	0	23	366
Precinct 7543 - Election Day	165	34	909	216	0	1	16	199
Precinct 7543 - Vote By Mail	338	99	909	467	0	0	30	437
Precinct 7544 - Election Day	181	52	898	258	0	0	25	233
Precinct 7544 - Vote By Mail	344	105	898	479	0	0	30	449
Precinct 7545 - Election Day	197	58	918	273	0	0	18	255
Precinct 7545 - Vote By Mail	314	120	918	480	0	0	46	434
Precinct 7546 - Election Day	213	61	982	304	0	0	30	274
Precinct 7546 - Vote By Mail	371	116	982	517	0	1	29	487
Precinct 7547 - Election Day	223	63	1,029	315	0	0	29	286
Precinct 7547 - Vote By Mail	358	103	1,029	505	0	0	44	461
Precinct 7548 - Election Day	231	59	1,073	319	1	0	28	290
Precinct 7548 - Vote By Mail	331	151	1,073	512	0	0	30	482
Precinct 7549 - Election Day	142	51	811	215	0	0	22	193
Precinct 7549 - Vote By Mail	273	114	811	431	0	0	44	387
Precinct 7551 - Election Day	167	53	741	239	0	0	19	220
Precinct 7551 - Vote By Mail	283	90	741	394	0	0	21	373
Precinct 7552 - Election Day	168	54	727	241	0	0	19	222
Precinct 7552 - Vote By Mail	242	85	727	361	0	0	34	327
Precinct 7553 MB - Vote By Mail	79	38	180	126	0	0	9	117
Precinct 7554 - Election Day	155	71	808	247	0	0	21	226
Precinct 7554 - Vote By Mail	277	126	808	442	0	0	39	403
Precinct 7555 - Election Day	199	68	886	290	0	0	23	267
Precinct 7555 - Vote By Mail	288	142	886	459	0	1	28	430
Precinct 7556/7557 - Election Day	176	80	969	275	0	0	19	256
Precinct 7556/7557 - Vote By Mail	365	180	969	573	0	0	28	545
Precinct 7601 - Election Day	130	46	767	191	0	0	15	176
Precinct 7601 - Vote By Mail	202	58	767	290	0	1	29	260
Precinct 7602 - Election Day	151	41	901	213	0	0	21	192
Precinct 7602 - Vote By Mail	269	78	901	379	0	0	32	347
Precinct 7603 - Election Day	184	46	830	250	0	0	20	230
Precinct 7603 - Vote By Mail	270	71	830	376	0	1	34	341
Precinct 7604 - Election Day	186	53	954	266	0	0	27	239
Precinct 7604 - Vote By Mail	255	75	954	352	0	0	22	330
Precinct 7605 - Election Day	81	24	648	120	0	0	15	105
Precinct 7605 - Vote By Mail	149	33	648	203	0	1	20	182
