Subtotal Area	EVA I. CHAO	BRIAN J. LARKIN	JONATHAN LYENS	JANICE LI	MELANIE NUTTER	WILLIAM WALKER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 9139 - Vote By Mail	91	54	58	120	51	17	975	510	0	9	110	391	0
Precinct 9141 - Election Day	28	36	21	73	28	10	953	252	0	4	52	196	0
Precinct 9141 - Vote By Mail	83	47	55	126	60	10	953	477	0	6	88	383	2
Precinct 9142 - Election Day	30	32	25	82	32	11	966	276	0	1	63	212	0
Precinct 9142 - Vote By Mail	59	45	58	152	50	9	966	459	0	3	83	373	0
Precinct 9143 - Election Day	21	15	22	83	32	11	920	251	0	0	67	184	0
Precinct 9143 - Vote By Mail	62	54	45	129	42	7	920	463	0	5	119	339	0
Precinct 9144 - Election Day	28	25	32	97	37	9	962	293	0	1	64	228	0
Precinct 9144 - Vote By Mail	61	48	40	148	69	14	962	482	0	2	100	380	0
Precinct 9145 - Election Day	24	31	21	86	30	9	861	249	1	2	44	202	1
Precinct 9145 - Vote By Mail	45	31	44	132	51	11	861	423	0	1	107	315	1
Precinct 9146 - Election Day	20	26	19	72	34	10	885	245	0	2	61	182	1
Precinct 9146 - Vote By Mail	50	41	49	164	69	11	885	464	0	1	79	384	0
Precinct 9147 - Election Day	22	21	25	94	31	6	971	281	0	0	82	199	0
Precinct 9147 - Vote By Mail	73	37	36	179	57	7	971	492	0	5	98	389	0
Precinct 9148 - Election Day	34	42	27	93	38	10	1,034	325	0	1	78	246	2
Precinct 9148 - Vote By Mail	59	47	52	170	59	14	1,034	513	0	7	105	401	0
Precinct 9149 - Election Day	21	23	28	82	37	5	948	264	0	3	65	196	0
Precinct 9149 - Vote By Mail	34	50	56	165	58	14	948	478	0	6	93	379	2
Precinct 9151 - Election Day	30	28	21	48	37	8	872	227	0	5	48	174	2
Precinct 9151 - Vote By Mail	37	43	41	92	79	5	872	418	0	5	115	298	1
Precinct 9152 - Election Day	32	27	15	89	33	14	721	270	0	2	57	211	1
Precinct 9152 - Vote By Mail	39	18	37	82	40	8	721	279	0	3	52	224	0
Precinct 9201 - Election Day	24	34	28	86	42	11	1,004	300	0	0	74	226	1
Precinct 9201 - Vote By Mail	45	51	37	155	70	19	1,004	475	0	5	93	377	0
Precinct 9202 - Election Day	38	26	22	63	48	8	971	294	0	6	81	207	2
Precinct 9202 - Vote By Mail	57	28	39	109	82	11	971	426	0	2	97	327	1
Precinct 9203 - Election Day	46	26	17	23	28	3	1,002	239	0	2	94	143	0
Precinct 9203 - Vote By Mail	105	31	30	83	90	10	1,002	536	0	6	180	350	1
Precinct 9204 - Election Day	53	35	11	28	35	11	873	273	0	0	100	173	0
Precinct 9204 - Vote By Mail	67	40	33	45	75	5	873	393	0	0	128	265	0
Precinct 9205 - Election Day	34	20	15	30	22	3	728	208	0	1	83	124	0
Precinct 9205 - Vote By Mail	49	27	37	72	65	12	728	376	0	4	110	262	0
Precinct 9206 - Election Day	52	26	13	28	37	4	931	249	0	1	87	161	1
Precinct 9206 - Vote By Mail	103	48	43	62	73	1	931	479	0	4	145	330	0
Precinct 9207 - Election Day	40	22	22	39	28	6	981	262	0	2	103	157	0
Precinct 9207 - Vote By Mail	85	38	45	76	88	13	981	502	0	5	151	346	1
Precinct 9208 - Election Day	48	36	17	35	42	10	1,002	287	0	1	98	188	0
Precinct 9208 - Vote By Mail	82	47	36	89	92	7	1,002	491	0	3	133	355	2
Precinct 9209 - Election Day	47	24	16	35	35	8	711	245	0	0	80	165	0
Precinct 9209 - Vote By Mail	53	31	33	46	51	2	711	327	0	5	106	216	0
Precinct 9211 - Election Day	39	25	18	32	34	3	889	234	0	2	81	151	0
Precinct 9211 - Vote By Mail	64	37	32	74	82	10	889	432	0	4	129	299	0
Precinct 9212 - Election Day	43	23	12	38	32	7	803	234	0	1	78	155	0
Precinct 9212 - Vote By Mail	62	31	36	74	70	7	803	400	0	2	113	285	5
Precinct 9213 - Election Day	45	35	19	41	22	12	951	264	0	5	85	174	0
Precinct 9213 - Vote By Mail	66	39	42	114	76	10	951	508	0	3	158	347	0
Precinct 9214 - Election Day	36	13	12	20	22	7	640	166	0	1	55	110	0
