Subtotal Area	JEFF ADACHI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7545 - None	383	918	480	6	0	81	0	393	10
Precinct 7546 - None	232	982	304	0	0	67	0	237	5
Precinct 7546 - None	434	982	517	5	0	73	0	439	5
Precinct 7547 - None	245	1,029	315	1	0	66	0	248	3
Precinct 7547 - None	403	1,029	505	10	0	89	0	406	3
Precinct 7548 - None	247	1,073	319	7	0	62	0	250	3
Precinct 7548 - None	411	1,073	512	11	0	84	0	417	6
Precinct 7549 - None	164	811	215	1	0	50	0	164	0
Precinct 7549 - None	328	811	431	0	0	99	0	332	4
Precinct 7551 - None	185	741	239	1	0	49	0	189	4
Precinct 7551 - None	322	741	394	9	0	60	0	325	3
Precinct 7552 - None	194	727	241	0	0	45	0	196	2
Precinct 7552 - None	293	727	361	16	0	51	0	294	1
Precinct 7553 MB - None	96	180	126	3	0	25	0	98	2
Precinct 7554 - None	189	808	247	1	0	54	0	192	3
Precinct 7554 - None	333	808	442	16	0	90	0	336	3
Precinct 7555 - None	249	886	290	-4	0	43	0	251	2
Precinct 7555 - None	371	886	459	9	0	73	0	377	6
Precinct 7556/7557 - None	216	969	275	1	0	56	0	218	2
Precinct 7556/7557 - None	464	969	573	6	1	90	0	476	12
Precinct 7601 - None	150	767	191	1	0	38	0	152	2
Precinct 7601 - None	231	767	290	1	0	53	0	236	5
Precinct 7602 - None	165	901	213	-1	1	45	0	168	3
Precinct 7602 - None	308	901	379	5	0	59	0	315	7
Precinct 7603 - None	205	830	250	2	0	41	0	207	2
Precinct 7603 - None	299	830	376	2	0	71	0	303	4
Precinct 7604 - None	204	954	266	2	0	56	0	208	4
Precinct 7604 - None	292	954	352	2	0	54	0	296	4
Precinct 7605 - None	91	648	120	0	0	28	0	92	1
Precinct 7605 - None	168	648	203	0	2	29	0	172	4
Precinct 7606 - None	137	924	205	3	2	59	0	141	4
Precinct 7606 - None	258	924	330	4	0	61	0	265	7
Precinct 7607 - None	154	960	215	1	0	55	0	159	5
Precinct 7607 - None	327	960	407	5	0	64	0	338	11
Precinct 7608 - None	55	392	70	0	0	14	0	56	1
Precinct 7608 - None	98	392	136	1	1	34	0	100	2
Precinct 7609 - None	82	926	120	0	1	33	0	86	4
Precinct 7609 - None	290	926	352	6	0	54	0	292	2
Precinct 7611 - None	94	755	126	1	0	30	0	95	1
Precinct 7611 - None	208	755	269	1	0	59	0	209	1
Precinct 7612 - None	67	583	97	0	0	29	0	68	1
Precinct 7612 - None	199	583	265	4	0	60	0	201	2
Precinct 7613 - None	153	908	204	1	1	46	0	156	3
Precinct 7613 - None	263	908	340	2	0	61	0	277	14
Precinct 7614 - None	161	1,029	223	1	0	54	0	168	7
Precinct 7614 - None	305	1,029	375	8	0	58	0	309	4
