Subtotal Area	MARSHALL TUCK	TONY K. THURMOND	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7338 - None	133	168	915	426	0	4	119	303	2
Precinct 7339 - None	54	78	669	174	0	1	41	132	0
Precinct 7339 - None	71	169	669	309	0	1	67	241	1
Precinct 7341 - None	53	127	908	260	0	0	76	184	4
Precinct 7341 - None	99	207	908	401	0	3	90	308	2
Precinct 7342 - None	94	177	947	334	0	0	62	272	1
Precinct 7342 - None	108	206	947	414	0	0	97	317	3
Precinct 7343 - None	51	124	731	234	0	2	56	176	1
Precinct 7343 - None	64	179	731	316	0	2	69	245	2
Precinct 7344 - None	71	145	1,110	291	0	2	72	217	1
Precinct 7344 - None	134	283	1,110	538	0	1	114	423	6
Precinct 7345 - None	102	139	1,141	329	1	3	82	243	2
Precinct 7345 - None	115	285	1,141	521	0	1	116	404	4
Precinct 7346 - None	63	123	920	250	0	1	60	189	3
Precinct 7346 - None	93	209	920	384	0	1	77	306	4
Precinct 7347 - None	59	123	1,040	241	0	2	55	184	2
Precinct 7347 - None	102	270	1,040	480	0	5	101	374	2
Precinct 7348 - None	53	104	861	210	0	3	49	158	1
Precinct 7348 - None	101	167	861	353	0	2	81	270	2
Precinct 7349 - None	81	121	957	248	0	0	45	203	1
Precinct 7349 - None	113	221	957	427	0	2	90	335	1
Precinct 7501 - None	50	82	565	172	0	2	37	133	1
Precinct 7501 - None	93	138	565	308	0	0	77	231	0
Precinct 7502 - None	50	82	784	180	1	0	46	133	1
Precinct 7502 - None	134	202	784	447	0	2	109	336	0
Precinct 7503 - None	59	101	764	208	0	0	48	160	0
Precinct 7503 - None	93	210	764	388	0	5	79	304	1
Precinct 7504 - None	27	59	503	112	0	1	25	86	0
Precinct 7504 - None	64	115	503	222	0	2	40	180	1
Precinct 7505 - None	47	82	869	158	0	0	29	129	0
Precinct 7505 - None	168	249	869	532	0	4	111	417	0
Precinct 7506 - None	53	132	999	226	0	1	40	185	0
Precinct 7506 - None	115	238	999	473	0	3	112	358	5
Precinct 7507 - None	48	125	955	211	0	1	36	174	1
Precinct 7507 - None	78	211	955	344	0	0	54	290	1
Precinct 7508 - None	36	82	727	154	0	2	34	118	0
Precinct 7508 - None	95	235	727	427	0	3	94	330	0
Precinct 7509/7511 - None	53	139	932	235	2	1	40	192	0
Precinct 7509/7511 - None	104	267	932	470	1	2	95	372	1
Precinct 7512 - None	43	75	612	150	0	2	29	119	1
Precinct 7512 - None	88	132	612	283	0	0	61	222	2
Precinct 7513 - None	45	120	818	225	0	2	57	166	1
Precinct 7513 - None	85	172	818	315	0	3	51	261	4
Precinct 7514 - None	32	75	874	140	0	2	30	108	1
Precinct 7514 - None	64	177	874	305	0	2	58	245	4
Precinct 7515 - None	45	116	869	212	0	0	49	163	2
Precinct 7515 - None	88	209	869	389	0	4	85	300	3
Precinct 7516 - None	32	98	922	172	0	0	42	130	0
Precinct 7516 - None	145	274	922	538	0	2	115	421	2
Precinct 7517 - None	78	159	863	289	0	0	52	237	0
Precinct 7517 - None	66	241	863	410	0	3	94	313	6
Precinct 7518 - None	72	163	950	309	0	0	73	236	1
Precinct 7518 - None	90	283	950	480	0	2	104	374	1
Precinct 7519 - None	46	136	737	224	0	1	41	182	0
Precinct 7519 - None	76	190	737	355	0	0	87	268	2
Precinct 7521 - None	63	157	812	292	0	0	70	222	2
Precinct 7521 - None	71	203	812	354	0	4	76	274	0
Precinct 7522 - None	44	125	764	207	0	1	37	169	0
Precinct 7522 - None	91	224	764	397	0	0	81	316	1
Precinct 7523 - None	56	166	747	275	0	0	52	223	1
Precinct 7523 - None	75	208	747	359	0	0	75	284	1
Precinct 7524 - None	35	96	615	181	0	1	49	131	0
Precinct 7524 - None	68	140	615	262	0	1	52	209	1
Precinct 7525 - None	61	101	800	205	0	1	41	163	1
Precinct 7525 - None	74	186	800	341	0	0	78	263	3
Precinct 7526 - None	66	148	1,011	292	0	1	75	216	2
Precinct 7526 - None	136	288	1,011	552	0	0	128	424	0
Precinct 7527/7528 - None	61	109	725	211	0	3	37	171	1
Precinct 7527/7528 - None	75	185	725	339	0	2	73	264	4
Precinct 7529 - None	67	157	948	295	0	0	71	224	0
Precinct 7529 - None	106	285	948	486	0	5	88	393	2
Precinct 7531 - None	53	131	865	228	0	0	42	186	2
Precinct 7531 - None	89	263	865	442	0	0	88	354	2
Precinct 7532 - None	55	133	852	246	0	1	55	190	2
Precinct 7532 - None	88	219	852	398	0	1	88	309	2
Precinct 7533 - None	74	219	1,015	357	0	2	58	297	4
Precinct 7533 - None	114	259	1,015	490	0	3	113	374	1
Precinct 7534 - None	55	185	936	322	0	1	81	240	0
Precinct 7534 - None	89	252	936	415	0	1	72	342	1
Precinct 7535 - None	53	163	767	262	0	1	43	218	2
Precinct 7535 - None	76	220	767	387	0	3	88	296	0
Precinct 7536 - None	71	163	863	291	0	1	54	236	2
Precinct 7536 - None	92	247	863	421	0	2	79	340	1
Precinct 7537 - None	50	139	752	240	0	1	49	190	1
Precinct 7537 - None	54	234	752	363	0	0	73	290	2
Precinct 7538 - None	46	149	771	246	0	0	49	197	2
Precinct 7538 - None	82	242	771	400	0	2	73	325	1
Precinct 7539 - None	56	198	922	330	0	0	75	255	1
Precinct 7539 - None	90	248	922	428	0	2	85	341	3
Precinct 7541 - None	62	127	805	248	0	2	57	189	0
Precinct 7541 - None	78	238	805	400	0	1	80	319	3
Precinct 7542 - None	52	170	821	272	0	1	49	222	0
Precinct 7542 - None	71	237	821	389	0	2	76	311	3
Precinct 7543 - None	43	119	909	216	0	0	53	163	1
Precinct 7543 - None	103	270	909	467	0	3	87	377	4
Precinct 7544 - None	57	139	898	258	0	1	60	197	1
Precinct 7544 - None	105	267	898	479	0	0	106	373	1
Precinct 7545 - None	56	159	918	273	0	0	58	215	0
