Subtotal Area	MALIA COHEN	MARK BURNS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7522 - None	178	14	764	207	0	0	15	192
Precinct 7522 - None	360	10	764	397	0	0	27	370
Precinct 7523 - None	239	18	747	275	0	0	18	257
Precinct 7523 - None	307	23	747	359	0	0	29	330
Precinct 7524 - None	150	11	615	181	0	0	20	161
Precinct 7524 - None	227	16	615	262	0	0	19	243
Precinct 7525 - None	182	9	800	205	0	0	14	191
Precinct 7525 - None	285	19	800	341	0	0	37	304
Precinct 7526 - None	251	15	1,011	292	0	1	25	266
Precinct 7526 - None	482	34	1,011	552	0	0	36	516
Precinct 7527/7528 - None	166	25	725	211	0	1	19	191
Precinct 7527/7528 - None	276	35	725	339	0	1	27	311
Precinct 7529 - None	255	15	948	295	0	1	24	270
Precinct 7529 - None	441	17	948	486	0	0	28	458
Precinct 7531 - None	204	9	865	228	0	0	15	213
Precinct 7531 - None	391	18	865	442	0	1	32	409
Precinct 7532 - None	206	17	852	246	0	0	23	223
Precinct 7532 - None	333	38	852	398	0	0	27	371
Precinct 7533 - None	323	11	1,015	357	0	0	23	334
Precinct 7533 - None	416	35	1,015	490	0	0	39	451
Precinct 7534 - None	282	15	936	322	0	0	25	297
Precinct 7534 - None	361	19	936	415	0	0	35	380
Precinct 7535 - None	227	7	767	262	0	0	28	234
Precinct 7535 - None	337	15	767	387	0	0	35	352
Precinct 7536 - None	246	14	863	291	0	0	31	260
Precinct 7536 - None	376	26	863	421	0	0	19	402
Precinct 7537 - None	202	13	752	240	0	0	25	215
Precinct 7537 - None	320	21	752	363	0	0	22	341
Precinct 7538 - None	220	9	771	246	0	0	17	229
Precinct 7538 - None	355	15	771	400	0	0	30	370
Precinct 7539 - None	283	11	922	330	0	0	36	294
Precinct 7539 - None	371	19	922	428	0	0	38	390
Precinct 7541 - None	219	13	805	248	0	0	16	232
Precinct 7541 - None	351	13	805	400	0	0	36	364
Precinct 7542 - None	237	9	821	272	0	0	26	246
Precinct 7542 - None	351	22	821	389	0	0	16	373
Precinct 7543 - None	187	4	909	216	0	0	25	191
Precinct 7543 - None	416	29	909	467	0	0	22	445
Precinct 7544 - None	216	22	898	258	0	0	20	238
Precinct 7544 - None	422	20	898	479	0	0	37	442
Precinct 7545 - None	233	17	918	273	0	0	23	250
Precinct 7545 - None	388	40	918	480	0	0	52	428
Precinct 7546 - None	252	21	982	304	0	0	31	273
Precinct 7546 - None	453	33	982	517	0	0	31	486
Precinct 7547 - None	284	8	1,029	315	0	0	23	292
Precinct 7547 - None	448	20	1,029	505	0	1	36	468
Precinct 7548 - None	275	19	1,073	319	1	0	24	294
Precinct 7548 - None	450	29	1,073	512	0	0	33	479
Precinct 7549 - None	180	18	811	215	0	0	17	198
Precinct 7549 - None	356	35	811	431	0	0	40	391
Precinct 7551 - None	201	15	741	239	0	0	23	216
Precinct 7551 - None	358	20	741	394	0	0	16	378
Precinct 7552 - None	210	12	727	241	0	0	19	222
Precinct 7552 - None	311	16	727	361	0	0	34	327
Precinct 7553 MB - None	102	13	180	126	0	0	11	115
Precinct 7554 - None	205	24	808	247	0	0	18	229
Precinct 7554 - None	378	37	808	442	0	0	27	415
Precinct 7555 - None	265	9	886	290	0	0	16	274
Precinct 7555 - None	396	32	886	459	0	0	31	428
Precinct 7556/7557 - None	213	33	969	275	0	0	29	246
Precinct 7556/7557 - None	504	39	969	573	0	0	30	543
Precinct 7601 - None	160	17	767	191	0	0	14	177
Precinct 7601 - None	238	34	767	290	0	0	18	272
Precinct 7602 - None	173	23	901	213	0	0	17	196
Precinct 7602 - None	307	37	901	379	0	0	35	344
Precinct 7603 - None	215	15	830	250	0	0	20	230
Precinct 7603 - None	302	34	830	376	0	1	39	336
Precinct 7604 - None	215	29	954	266	0	0	22	244
Precinct 7604 - None	293	39	954	352	0	0	20	332
Precinct 7605 - None	95	9	648	120	0	0	16	104
Precinct 7605 - None	158	25	648	203	0	1	19	183
Precinct 7606 - None	149	32	924	205	0	0	24	181
Precinct 7606 - None	269	38	924	330	0	0	23	307
Precinct 7607 - None	179	19	960	215	0	0	17	198
Precinct 7607 - None	341	41	960	407	0	0	25	382
Precinct 7608 - None	50	15	392	70	0	0	5	65
Precinct 7608 - None	79	32	392	136	0	0	25	111
Precinct 7609 - None	83	19	926	120	0	0	18	102
Precinct 7609 - None	243	49	926	352	0	0	60	292
Precinct 7611 - None	89	19	755	126	0	0	18	108
Precinct 7611 - None	186	32	755	269	0	1	50	218
Precinct 7612 - None	62	19	583	97	0	0	16	81
Precinct 7612 - None	194	36	583	265	0	0	35	230
Precinct 7613 - None	160	16	908	204	0	0	28	176
Precinct 7613 - None	250	52	908	340	0	0	38	302
Precinct 7614 - None	178	17	1,029	223	0	0	28	195
Precinct 7614 - None	316	41	1,029	375	0	1	17	357
Precinct 7615 - None	105	27	762	162	0	0	30	132
Precinct 7615 - None	175	29	762	237	0	0	33	204
Precinct 7616 - None	255	39	1,203	324	0	0	30	294
Precinct 7616 - None	599	53	1,203	686	0	0	34	652
Precinct 7617 - None	73	13	768	102	0	1	15	86
Precinct 7617 - None	177	47	768	261	0	0	37	224
Precinct 7618 - None	147	14	862	168	0	0	7	161
Precinct 7618 - None	339	37	862	407	0	0	31	376
Precinct 7619 - None	183	19	1,063	219	0	0	17	202
Precinct 7619 - None	474	52	1,063	563	0	0	37	526
Precinct 7621 - None	232	31	1,320	287	0	0	24	263
Precinct 7621 - None	539	80	1,320	668	0	0	49	619
Precinct 7622 - None	131	21	988	170	0	0	18	152
Precinct 7622 - None	234	38	988	301	0	0	29	272
Precinct 7623 - None	143	16	746	184	0	0	25	159
Precinct 7623 - None	227	36	746	297	0	0	34	263
Precinct 7624 - None	112	19	859	142	0	0	11	131
Precinct 7624 - None	224	44	859	290	0	1	21	268
Precinct 7625 - None	42	13	822	66	0	0	11	55
Precinct 7625 - None	292	89	822	475	0	0	94	381
Precinct 7626 - None	187	20	1,114	227	0	0	20	207
Precinct 7626 - None	491	80	1,114	612	0	0	41	571
Precinct 7627 - None	205	33	1,187	267	0	0	29	238
Precinct 7627 - None	402	125	1,187	582	0	0	55	527
Precinct 7628 - None	195	28	960	241	0	0	18	223
Precinct 7628 - None	367	31	960	428	0	0	30	398
Precinct 7629 - None	173	10	809	208	0	0	25	183
Precinct 7629 - None	276	40	809	343	0	0	27	316
Precinct 7631 - None	215	30	1,155	270	0	0	25	245
Precinct 7631 - None	467	63	1,155	577	0	0	47	530
Precinct 7632 - None	231	25	1,124	289	0	0	33	256
Precinct 7632 - None	489	40	1,124	561	0	0	32	529
Precinct 7633 - None	112	16	741	137	0	0	9	128
Precinct 7633 - None	280	57	741	392	0	0	55	337
Precinct 7634 - None	137	30	900	195	0	0	28	167
Precinct 7634 - None	320	76	900	421	0	0	25	396
Precinct 7635 - None	128	13	840	158	0	0	17	141
Precinct 7635 - None	322	30	840	382	0	0	30	352
Precinct 7636 - None	194	31	938	251	0	0	26	225
Precinct 7636 - None	380	51	938	465	0	0	34	431
Precinct 7637 - None	143	38	809	193	0	0	12	181
Precinct 7637 - None	324	54	809	404	0	0	26	378
Precinct 7638 - None	218	52	1,467	295	0	0	25	270
Precinct 7638 - None	643	162	1,467	871	1	0	65	805
Precinct 7639 - None	186	38	1,011	242	0	0	18	224
Precinct 7639 - None	439	69	1,011	559	0	0	51	508
Precinct 7641 - None	145	34	972	205	0	0	26	179
Precinct 7641 - None	415	90	972	549	0	0	44	505
Precinct 7642 - None	126	15	937	153	0	1	11	141
Precinct 7642 - None	295	46	937	394	0	0	53	341
Precinct 7643 - None	130	23	920	169	0	0	16	153
Precinct 7643 - None	394	73	920	507	0	1	39	467
Precinct 7644 - None	271	27	1,175	330	0	0	32	298
Precinct 7644 - None	453	56	1,175	554	0	0	45	509
Precinct 7645 - None	92	17	640	120	0	0	11	109
Precinct 7645 - None	273	69	640	377	0	0	35	342
Precinct 7646 - None	225	20	1,100	267	0	0	22	245
Precinct 7646 - None	487	65	1,100	592	0	0	40	552
Precinct 7647 - None	171	17	1,075	205	0	0	17	188
Precinct 7647 - None	241	20	1,075	283	0	1	21	261
Precinct 7648 MB - None	0	0	1	0	0	0	0	0
Precinct 7649 - None	146	14	891	178	0	0	18	160
Precinct 7649 - None	289	68	891	395	0	2	36	357
Precinct 7651 - None	128	20	677	166	1	0	17	148
Precinct 7651 - None	280	44	677	351	0	0	27	324
Precinct 7652 - None	113	16	628	135	0	0	6	129
Precinct 7652 - None	241	29	628	301	0	1	30	270
Precinct 7653 - None	239	24	1,280	300	0	0	37	263
Precinct 7653 - None	538	73	1,280	673	0	0	62	611
Precinct 7701 - None	241	31	1,064	296	0	0	24	272
Precinct 7701 - None	488	59	1,064	597	0	0	50	547
Precinct 7702 - None	137	22	748	180	0	0	21	159
Precinct 7702 - None	304	75	748	415	0	0	36	379
Precinct 7703 MB - None	55	10	171	79	0	1	13	65
Precinct 7704 - None	190	45	1,008	257	0	0	22	235
Precinct 7704 - None	421	96	1,008	557	0	0	40	517
Precinct 7705 - None	114	19	568	149	0	0	16	133
