Subtotal Area	STEVEN C BAILEY	XAVIER BECERRA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7518 - None	19	276	950	309	0	0	14	295
Precinct 7518 - None	25	436	950	480	0	0	19	461
Precinct 7519 - None	17	201	737	224	0	0	6	218
Precinct 7519 - None	17	327	737	355	0	0	11	344
Precinct 7521 - None	17	254	812	292	0	0	21	271
Precinct 7521 - None	7	336	812	354	0	0	11	343
Precinct 7522 - None	8	192	764	207	0	0	7	200
Precinct 7522 - None	11	377	764	397	0	0	9	388
Precinct 7523 - None	18	245	747	275	0	0	12	263
Precinct 7523 - None	23	325	747	359	0	1	10	348
Precinct 7524 - None	6	156	615	181	0	0	19	162
Precinct 7524 - None	15	235	615	262	0	1	11	250
Precinct 7525 - None	10	186	800	205	0	0	9	196
Precinct 7525 - None	18	304	800	341	0	0	19	322
Precinct 7526 - None	19	263	1,011	292	0	1	9	282
Precinct 7526 - None	22	514	1,011	552	0	0	16	536
Precinct 7527/7528 - None	29	167	725	211	0	1	14	196
Precinct 7527/7528 - None	28	297	725	339	0	1	13	325
Precinct 7529 - None	14	268	948	295	0	0	13	282
Precinct 7529 - None	11	464	948	486	0	0	11	475
Precinct 7531 - None	10	213	865	228	0	0	5	223
Precinct 7531 - None	11	421	865	442	0	0	10	432
Precinct 7532 - None	18	220	852	246	0	0	8	238
Precinct 7532 - None	39	341	852	398	0	0	18	380
Precinct 7533 - None	15	331	1,015	357	0	0	11	346
Precinct 7533 - None	32	437	1,015	490	0	0	21	469
Precinct 7534 - None	15	293	936	322	0	0	14	308
Precinct 7534 - None	21	378	936	415	0	0	16	399
Precinct 7535 - None	9	241	767	262	0	0	12	250
Precinct 7535 - None	14	354	767	387	0	0	19	368
Precinct 7536 - None	10	265	863	291	0	1	15	275
Precinct 7536 - None	18	397	863	421	0	0	6	415
Precinct 7537 - None	14	214	752	240	0	0	12	228
Precinct 7537 - None	19	337	752	363	0	0	7	356
Precinct 7538 - None	9	230	771	246	0	0	7	239
Precinct 7538 - None	9	378	771	400	0	0	13	387
Precinct 7539 - None	12	304	922	330	0	0	14	316
Precinct 7539 - None	18	389	922	428	0	0	21	407
Precinct 7541 - None	8	231	805	248	0	0	9	239
Precinct 7541 - None	13	373	805	400	0	0	14	386
Precinct 7542 - None	11	246	821	272	0	0	15	257
Precinct 7542 - None	22	360	821	389	0	0	7	382
Precinct 7543 - None	8	194	909	216	0	0	14	202
Precinct 7543 - None	20	431	909	467	0	1	15	451
Precinct 7544 - None	18	223	898	258	0	0	17	241
Precinct 7544 - None	14	446	898	479	0	0	19	460
Precinct 7545 - None	15	252	918	273	0	0	6	267
Precinct 7545 - None	38	418	918	480	0	0	24	456
Precinct 7546 - None	22	265	982	304	0	0	17	287
Precinct 7546 - None	21	483	982	517	0	0	13	504
Precinct 7547 - None	9	295	1,029	315	0	0	11	304
Precinct 7547 - None	17	469	1,029	505	0	0	19	486
Precinct 7548 - None	18	286	1,073	319	1	0	14	304
Precinct 7548 - None	36	465	1,073	512	0	0	11	501
Precinct 7549 - None	14	193	811	215	0	0	8	207
Precinct 7549 - None	30	379	811	431	0	0	22	409
Precinct 7551 - None	14	213	741	239	0	0	12	227
Precinct 7551 - None	20	369	741	394	0	0	5	389
Precinct 7552 - None	11	221	727	241	0	0	9	232
Precinct 7552 - None	18	327	727	361	0	1	15	345
Precinct 7553 MB - None	12	110	180	126	0	0	4	122
Precinct 7554 - None	21	218	808	247	0	0	8	239
Precinct 7554 - None	30	399	808	442	0	0	13	429
Precinct 7555 - None	8	273	886	290	0	0	9	281
Precinct 7555 - None	27	418	886	459	0	0	14	445
Precinct 7556/7557 - None	32	233	969	275	0	0	10	265
Precinct 7556/7557 - None	35	529	969	573	0	0	9	564
Precinct 7601 - None	26	151	767	191	0	0	14	177
Precinct 7601 - None	33	237	767	290	0	0	20	270
Precinct 7602 - None	18	182	901	213	0	0	13	200
Precinct 7602 - None	31	329	901	379	0	0	19	360
Precinct 7603 - None	18	223	830	250	0	0	9	241
Precinct 7603 - None	32	325	830	376	0	0	19	357
Precinct 7604 - None	37	215	954	266	0	0	14	252
Precinct 7604 - None	35	303	954	352	0	0	14	338
Precinct 7605 - None	18	89	648	120	0	0	13	107
Precinct 7605 - None	29	159	648	203	0	1	14	188
Precinct 7606 - None	27	159	924	205	0	0	19	186
Precinct 7606 - None	37	277	924	330	0	0	16	314
Precinct 7607 - None	21	175	960	215	0	0	19	196
Precinct 7607 - None	51	341	960	407	0	0	15	392
Precinct 7608 - None	15	51	392	70	0	0	4	66
Precinct 7608 - None	33	87	392	136	0	0	16	120
Precinct 7609 - None	24	78	926	120	0	0	18	102
Precinct 7609 - None	60	232	926	352	0	0	60	292
Precinct 7611 - None	22	84	755	126	0	0	20	106
Precinct 7611 - None	42	183	755	269	0	0	44	225
Precinct 7612 - None	21	68	583	97	0	0	8	89
Precinct 7612 - None	43	191	583	265	0	0	31	234
Precinct 7613 - None	18	163	908	204	0	0	23	181
Precinct 7613 - None	53	261	908	340	0	0	26	314
Precinct 7614 - None	25	178	1,029	223	0	0	20	203
Precinct 7614 - None	57	305	1,029	375	0	1	12	362
Precinct 7615 - None	36	95	762	162	0	0	31	131
Precinct 7615 - None	32	170	762	237	0	0	35	202
Precinct 7616 - None	27	282	1,203	324	0	0	15	309
Precinct 7616 - None	54	612	1,203	686	0	0	20	666
Precinct 7617 - None	17	72	768	102	0	2	11	89
Precinct 7617 - None	62	175	768	261	0	0	24	237
Precinct 7618 - None	11	151	862	168	0	0	6	162
Precinct 7618 - None	39	350	862	407	0	0	18	389
Precinct 7619 - None	22	183	1,063	219	0	0	14	205
Precinct 7619 - None	53	491	1,063	563	0	0	19	544
Precinct 7621 - None	31	241	1,320	287	0	0	15	272
Precinct 7621 - None	72	565	1,320	668	0	0	31	637
Precinct 7622 - None	22	130	988	170	0	0	18	152
Precinct 7622 - None	47	231	988	301	0	0	23	278
Precinct 7623 - None	21	149	746	184	0	0	14	170
Precinct 7623 - None	40	239	746	297	0	0	18	279
Precinct 7624 - None	20	111	859	142	0	0	11	131
Precinct 7624 - None	40	231	859	290	0	2	17	271
Precinct 7625 - None	13	44	822	66	0	0	9	57
Precinct 7625 - None	96	300	822	475	0	1	78	396
Precinct 7626 - None	20	194	1,114	227	0	0	13	214
Precinct 7626 - None	77	513	1,114	612	0	0	22	590
Precinct 7627 - None	34	216	1,187	267	0	0	17	250
Precinct 7627 - None	110	439	1,187	582	0	0	33	549
Precinct 7628 - None	18	210	960	241	0	0	13	228
Precinct 7628 - None	33	374	960	428	0	0	21	407
Precinct 7629 - None	16	176	809	208	0	0	16	192
Precinct 7629 - None	35	290	809	343	0	0	18	325
Precinct 7631 - None	33	215	1,155	270	0	2	20	248
Precinct 7631 - None	64	488	1,155	577	0	0	25	552
Precinct 7632 - None	27	244	1,124	289	0	0	18	271
Precinct 7632 - None	40	502	1,124	561	0	1	18	542
Precinct 7633 - None	14	115	741	137	0	0	8	129
Precinct 7633 - None	47	303	741	392	0	0	42	350
Precinct 7634 - None	33	140	900	195	0	0	22	173
Precinct 7634 - None	67	328	900	421	0	1	25	395
Precinct 7635 - None	12	134	840	158	0	0	12	146
Precinct 7635 - None	32	333	840	382	0	0	17	365
Precinct 7636 - None	29	212	938	251	0	0	10	241
Precinct 7636 - None	48	400	938	465	0	0	17	448
Precinct 7637 - None	40	149	809	193	0	0	4	189
Precinct 7637 - None	44	344	809	404	0	0	16	388
Precinct 7638 - None	50	226	1,467	295	0	0	19	276
Precinct 7638 - None	141	692	1,467	871	1	0	37	833
Precinct 7639 - None	38	191	1,011	242	0	0	13	229
