Subtotal Area	SUZY LOFTUS	LEIF DAUTCH	NANCY TUNG	CHESA BOUDIN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Assembly District 17	34,005	15,129	17,961	44,829	287,476	119,893	0	287	7,682	0	111,924	0
Assembly District 19 - Election Day	7,428	2,921	4,253	8,678	207,574	24,472	0	31	1,161	0	23,280	0
Assembly District 19 - Vote By Mail	18,265	8,708	14,808	15,068	207,574	61,752	0	156	4,747	0	56,849	0
Assembly District 19	25,693	11,629	19,061	23,746	207,574	86,224	0	187	5,908	0	80,129	0
Supervisorial District 1 - Election Day	1,478	552	921	2,267	42,447	5,463	0	5	240	0	5,218	0
Supervisorial District 1 - Vote By Mail	3,473	1,609	2,810	3,638	42,447	12,562	0	26	1,006	0	11,530	0
Supervisorial District 1	4,951	2,161	3,731	5,905	42,447	18,025	0	31	1,246	0	16,748	0
Supervisorial District 2 - Election Day	1,944	948	747	1,350	49,361	5,273	0	2	282	0	4,989	0
Supervisorial District 2 - Vote By Mail	5,253	2,709	2,203	2,632	49,361	13,929	0	20	1,112	0	12,797	0
Supervisorial District 2	7,197	3,657	2,950	3,982	49,361	19,202	0	22	1,394	0	17,786	0
Supervisorial District 3 - Election Day	1,026	508	664	1,479	38,836	3,915	0	9	229	0	3,677	0
Supervisorial District 3 - Vote By Mail	2,976	1,652	2,654	2,729	38,836	10,901	0	34	856	0	10,011	0
Supervisorial District 3	4,002	2,160	3,318	4,208	38,836	14,816	0	43	1,085	0	13,688	0
Supervisorial District 4 - Election Day	1,382	544	1,024	1,828	43,341	5,028	0	5	245	0	4,778	0
Supervisorial District 4 - Vote By Mail	3,208	1,637	3,981	3,081	43,341	13,013	0	44	1,062	0	11,907	0
Supervisorial District 4	4,590	2,181	5,005	4,909	43,341	18,041	0	49	1,307	0	16,685	0
Supervisorial District 5 - Election Day	2,268	714	664	4,245	51,976	8,348	0	8	449	0	7,891	0
Supervisorial District 5 - Vote By Mail	5,191	1,740	1,744	6,595	51,976	16,417	0	34	1,113	0	15,270	0
Supervisorial District 5	7,459	2,454	2,408	10,840	51,976	24,765	0	42	1,562	0	23,161	0
Supervisorial District 6 - Election Day	793	517	554	1,262	42,510	3,315	0	8	181	0	3,126	0
Supervisorial District 6 - Vote By Mail	2,794	2,187	2,141	2,924	42,510	11,019	0	62	911	0	10,046	0
Supervisorial District 6	3,587	2,704	2,695	4,186	42,510	14,334	0	70	1,092	0	13,172	0
Supervisorial District 7 - Election Day	2,098	771	1,155	1,831	46,757	6,123	0	10	258	0	5,855	0
Supervisorial District 7 - Vote By Mail	5,247	2,080	3,871	3,313	46,757	15,588	0	24	1,053	0	14,511	0
Supervisorial District 7	7,345	2,851	5,026	5,144	46,757	21,711	0	34	1,311	0	20,366	0
Supervisorial District 8 - Election Day	2,661	836	769	4,490	57,103	9,080	0	6	318	0	8,756	0
Supervisorial District 8 - Vote By Mail	6,787	2,254	2,030	7,579	57,103	19,810	0	19	1,141	0	18,650	0
Supervisorial District 8	9,448	3,090	2,799	12,069	57,103	28,890	0	25	1,459	0	27,406	0
Supervisorial District 9 - Election Day	1,112	447	460	3,595	42,539	5,866	0	16	236	0	5,614	0
Supervisorial District 9 - Vote By Mail	3,041	1,352	1,774	5,076	42,539	12,100	0	34	823	0	11,243	0
Supervisorial District 9	4,153	1,799	2,234	8,671	42,539	17,966	0	50	1,059	0	16,857	0
Supervisorial District 10 - Election Day	986	395	468	1,522	42,195	3,620	0	5	244	0	3,371	0
Supervisorial District 10 - Vote By Mail	2,829	1,602	2,411	3,020	42,195	10,749	0	46	841	0	9,862	0
Supervisorial District 10	3,815	1,997	2,879	4,542	42,195	14,369	0	51	1,085	0	13,233	0
Supervisorial District 11 - Election Day	814	305	664	1,413	37,985	3,392	0	9	187	0	3,196	0
Supervisorial District 11 - Vote By Mail	2,337	1,399	3,313	2,706	37,985	10,606	0	48	803	0	9,755	0
Supervisorial District 11	3,151	1,704	3,977	4,119	37,985	13,998	0	57	990	0	12,951	0
Bayview/Hunters Point - Election Day	452	167	217	603	20,194	1,585	0	5	141	0	1,439	0
Bayview/Hunters Point - Vote By Mail	1,191	679	1,158	1,157	20,194	4,607	0	23	399	0	4,185	0
Bayview/Hunters Point	1,643	846	1,375	1,760	20,194	6,192	0	28	540	0	5,624	0
Chinatown - Election Day	435	226	310	624	18,045	1,697	0	3	99	0	1,595	0
Chinatown - Vote By Mail	1,362	767	1,333	1,143	18,045	5,016	0	12	399	0	4,605	0
Chinatown	1,797	993	1,643	1,767	18,045	6,713	0	15	498	0	6,200	0
Civic Center/Downtown - Election Day	630	359	394	1,076	27,613	2,636	0	8	169	0	2,459	0
Civic Center/Downtown - Vote By Mail	1,732	1,243	1,470	2,115	27,613	7,165	0	44	561	0	6,560	0
Civic Center/Downtown	2,362	1,602	1,864	3,191	27,613	9,801	0	52	730	0	9,019	0
Diamond Heights - Election Day	393	146	147	434	7,735	1,166	0	1	45	0	1,120	0
Diamond Heights - Vote By Mail	1,005	365	430	842	7,735	2,827	0	3	182	0	2,642	0
Diamond Heights	1,398	511	577	1,276	7,735	3,993	0	4	227	0	3,762	0
Excelsior - Election Day	570	216	487	1,024	28,067	2,435	0	7	131	0	2,297	0
Excelsior - Vote By Mail	1,693	1,111	2,475	1,994	28,067	7,900	0	34	593	0	7,273	0
Excelsior	2,263	1,327	2,962	3,018	28,067	10,335	0	41	724	0	9,570	0
Haight Ashbury - Election Day	725	238	164	1,563	15,102	2,834	0	1	143	0	2,690	0
Haight Ashbury - Vote By Mail	1,580	448	381	2,209	15,102	4,921	0	9	294	0	4,618	0
Haight Ashbury	2,305	686	545	3,772	15,102	7,755	0	10	437	0	7,308	0
Ingleside - Election Day	321	121	246	532	13,133	1,291	0	2	69	0	1,220	0
Ingleside - Vote By Mail	869	398	1,104	936	13,133	3,595	0	14	274	0	3,307	0
Ingleside	1,190	519	1,350	1,468	13,133	4,886	0	16	343	0	4,527	0
Inner Sunset - Election Day	471	129	177	777	9,501	1,634	0	2	78	0	1,554	0
Inner Sunset - Vote By Mail	930	306	388	1,200	9,501	3,042	0	2	216	0	2,824	0
Inner Sunset	1,401	435	565	1,977	9,501	4,676	0	4	294	0	4,378	0
Lake Merced - Election Day	200	103	171	313	8,190	827	0	1	39	0	787	0
Lake Merced - Vote By Mail	626	333	552	487	8,190	2,159	0	6	155	0	1,998	0
Lake Merced	826	436	723	800	8,190	2,986	0	7	194	0	2,785	0
Laurel Heights/Anza Vista - Election Day	412	168	178	584	10,551	1,395	0	1	52	0	1,342	0
Laurel Heights/Anza Vista - Vote By Mail	1,014	418	426	949	10,551	3,049	0	7	235	0	2,807	0
Laurel Heights/Anza Vista	1,426	586	604	1,533	10,551	4,444	0	8	287	0	4,149	0
Marina Pacific Heights - Election Day	1,505	803	590	1,054	41,063	4,206	0	2	252	0	3,952	0
Marina Pacific Heights - Vote By Mail	4,194	2,301	1,813	2,061	41,063	11,309	0	18	922	0	10,369	0
Marina Pacific Heights	5,699	3,104	2,403	3,115	41,063	15,515	0	20	1,174	0	14,321	0
Mission - Election Day	915	338	329	3,032	32,113	4,830	0	10	206	0	4,614	0
Mission - Vote By Mail	2,257	914	895	4,124	32,113	8,741	0	20	531	0	8,190	0
Mission	3,172	1,252	1,224	7,156	32,113	13,571	0	30	737	0	12,804	0
Noe Valley - Election Day	818	229	208	1,156	15,730	2,488	0	0	77	0	2,411	0
Noe Valley - Vote By Mail	2,027	595	562	1,966	15,730	5,494	0	3	341	0	5,150	0
Noe Valley	2,845	824	770	3,122	15,730	7,982	0	3	418	0	7,561	0
North Bernal Heights - Election Day	324	112	107	1,075	9,293	1,671	0	3	50	0	1,618	0
North Bernal Heights - Vote By Mail	831	291	276	1,500	9,293	3,068	0	6	164	0	2,898	0
North Bernal Heights	1,155	403	383	2,575	9,293	4,739	0	9	214	0	4,516	0
North Embarcadero - Election Day	203	97	110	254	5,953	702	0	1	37	0	664	0
North Embarcadero - Vote By Mail	561	289	400	437	5,953	1,840	0	7	146	0	1,687	0
North Embarcadero	764	386	510	691	5,953	2,542	0	8	183	0	2,351	0
Portola - Election Day	195	98	149	325	9,927	810	0	3	40	0	767	0
Portola - Vote By Mail	696	473	873	591	9,927	2,924	0	10	281	0	2,633	0
Portola	891	571	1,022	916	9,927	3,734	0	13	321	0	3,400	0
Potrero Hill - Election Day	460	200	196	786	16,717	1,709	0	0	67	0	1,642	0
Potrero Hill - Vote By Mail	1,498	693	773	1,630	16,717	4,951	0	12	345	0	4,594	0
Potrero Hill	1,958	893	969	2,416	16,717	6,660	0	12	412	0	6,236	0
Richmond - Election Day	1,332	492	833	2,039	37,882	4,923	0	5	222	0	4,696	0
Richmond - Vote By Mail	3,041	1,450	2,607	3,247	37,882	11,267	0	24	898	0	10,345	0
Richmond	4,373	1,942	3,440	5,286	37,882	16,190	0	29	1,120	0	15,041	0
Sea Cliff/Presidio Heights - Election Day	332	112	118	219	6,193	810	0	0	29	0	781	0
Sea Cliff/Presidio Heights - Vote By Mail	830	299	321	393	6,193	2,005	0	3	159	0	1,843	0
Sea Cliff/Presidio Heights	1,162	411	439	612	6,193	2,815	0	3	188	0	2,624	0
South of Bernal Heights - Election Day	292	92	88	596	7,872	1,104	0	3	33	0	1,068	0
South of Bernal Heights - Vote By Mail	700	263	307	1,037	7,872	2,480	0	8	165	0	2,307	0
South of Bernal Heights	992	355	395	1,633	7,872	3,584	0	11	198	0	3,375	0
South of Market - Election Day	453	285	327	647	24,361	1,800	0	5	83	0	1,712	0
South of Market - Vote By Mail	1,679	1,273	1,283	1,597	24,361	6,392	0	30	530	0	5,832	0
South of Market	2,132	1,558	1,610	2,244	24,361	8,192	0	35	613	0	7,544	0
Sunset - Election Day	1,345	532	1,020	1,779	42,750	4,923	0	5	242	0	4,676	0
Sunset - Vote By Mail	3,168	1,626	3,950	3,037	42,750	12,880	0	44	1,055	0	11,781	0
Sunset	4,513	2,158	4,970	4,816	42,750	17,803	0	49	1,297	0	16,457	0
Upper Market/Eureka Valley - Election Day	879	298	245	1,550	19,329	3,077	0	2	103	0	2,972	0
Upper Market/Eureka Valley - Vote By Mail	2,472	807	633	2,710	19,329	7,004	0	4	378	0	6,622	0
Upper Market/Eureka Valley	3,351	1,105	878	4,260	19,329	10,081	0	6	481	0	9,594	0
Visitation Valley - Election Day	114	62	95	168	7,912	488	0	0	49	0	439	0
Visitation Valley - Vote By Mail	400	367	644	377	7,912	1,957	0	12	157	0	1,788	0
Visitation Valley	514	429	739	545	7,912	2,445	0	12	206	0	2,227	0
West of Twin Peaks - Election Day	1,731	591	865	1,183	33,087	4,572	0	9	193	0	4,370	0
West of Twin Peaks - Vote By Mail	4,194	1,569	2,898	2,391	33,087	11,829	0	18	759	0	11,052	0
West of Twin Peaks	5,925	2,160	3,763	3,574	33,087	16,401	0	27	952	0	15,422	0
Western Addition - Election Day	1,055	323	319	1,889	26,737	3,810	0	4	220	0	3,586	0
Western Addition - Vote By Mail	2,586	943	980	3,163	26,737	8,272	0	18	582	0	7,672	0
Western Addition	3,641	1,266	1,299	5,052	26,737	12,082	0	22	802	0	11,258	0
